@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,13-14,25-26,31,56,64,81,87-88,91,93,112,114,117-118,124,132,156,161,170-171,242,247-248,266,310,315,342,348-349,364,387,389-390,423,431,487,517-518,530,543,552,576,594-595,604,617,656-657,697,700,704,733-734,757,786,834-835,869,885,893-894,926,925'

@attribute PESO_4_lag11 numeric
@attribute PESO_5_lag11 numeric
@attribute VALOR_5_lag11 numeric
@attribute PESO_9_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute PESO_2_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute VALOR_4_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_6_lag10 numeric
@attribute VALOR_12_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute VALOR_16_lag10 numeric
@attribute PESO_19_lag10 numeric
@attribute VALOR_1_lag9 numeric
@attribute PESO_3_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute VALOR_12_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_12_lag7 numeric
@attribute PESO_14_lag7 numeric
@attribute VALOR_14_lag7 numeric
@attribute VALOR_19_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_2_lag6 numeric
@attribute VALOR_2_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_9_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_23_lag5 numeric
@attribute PESO_2_lag4 numeric
@attribute PESO_5_lag4 numeric
@attribute PESO_13_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_19_lag4 numeric
@attribute VALOR_22_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_14_lag3 numeric
@attribute VALOR_14_lag3 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_14_lag2 numeric
@attribute VALOR_14_lag2 numeric
@attribute PESO_22_lag2 numeric
@attribute PESO_6_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute PESO_8_lag0 numeric
@attribute VALOR_13_lag0 numeric
@attribute PESO_16_lag0 numeric
@attribute VALOR_16_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead1 numeric

@data
225647,19371,100656.17,457138,768531.69,18732,79545.29,1339104,135941,141836,230892.06,26646.63,171731,175245.26,0,0,0,70932.9,34849,8489.9,1950189,76514,270164.29,294683.31,60491,260242.76,36046.05,42208.93,2224967,72285,64,74.75,155875.81,14000,94778,350681.69,0,19603,419606,45951,92561.84,5501257.11,132242,826,200,736324,121769.8,2794516.46,0,8,16.02,36142,2933278,373244.41,187738,62650.69,820571,190352,1179117,2848835.22,2649758,0,40215,63625.17,5650392,4655949
141836,552,26646.63,191601,548011.7,10,65425.25,1440375,102450,188678,257511.91,181107.86,76514,1856111.81,6008,0,0,61334.01,41417,0,2519919,60491,260242.76,238468.01,71665,349717.52,51312.38,14000,2952080,29643,10,100.56,88474.03,97092.68,316817,441468.15,4724,27337,362615,736324,121769.8,2856043.47,43902,159,10,75157,165427.15,4323053.04,0,187738,62650.69,509949,3322588,231227.64,313533,143797.92,1179117,141427,898453,3017653.67,4655949,17450.54,124598,243519.94,4341390,5650392
188678,43505,181107.86,367543,749606.91,0,87151.41,883962,74962,137461,294683.31,63296.53,60491,36046.05,0,0,0,46562.74,29614,42208.93,2224967,71665,349717.52,232682.21,55843,251952.59,44976.9,97092.68,2458775,75956,172,165.76,92561.84,11261.3,132242,268627.52,17808.96,35122,545395,75157,165427.15,5668553.47,36142,257,230,84152,305490.19,1729342.32,16000,313533,143797.92,51938,3274391,152238.9,50195,23580.51,898453,111794,747336,1624696.69,5650392,6196.08,29346,88359.02,3371997,4341390
137461,1107,63296.53,235563,490356.57,12,65983.8,1080091,252929,139512,238468.01,91017.51,71665,51312.38,0,64,74.75,92210.44,48652,14000,2952080,55843,251952.59,212836.04,64638,327853,55722.25,11261.3,2286615,64713,0,0,121769.8,0,43902,245927.8,499.5,27450,436977,84152,305490.19,6447566.78,509949,126,0,76713,183115.55,2848835.22,1,50195,23580.51,18889,2620497,293535.01,5,57,747336,105744,929046,1982389.16,4341390,0,62573,196394.79,5933294,3371997
139512,22510,91017.51,347303,799378.13,35,155875.81,735355,94778,133677,232682.21,41644.74,55843,44976.9,0,10,100.56,63346.45,41543,97092.68,2458775,64638,327853,16929.33,43366,274937.74,78756.74,0,2428946,20001427,8,16.02,165427.15,0,36142,249969.87,2386.59,26011,288560,76713,183115.55,4042351.77,51938,55,0,40073,143677.58,3017653.67,18054,5,57,610033,2658367,175568.22,31105,13872.47,929046,44234,1055663,957026.72,3371997,15984.83,23903,253723.81,6545056,5933294
133677,551,41644.74,213197,500402.77,447,88474.03,752049,316817,103458,212836.04,22151.35,64638,55722.25,400,172,165.76,81277.62,45951,11261.3,2286615,43366,274937.74,369083.21,65672,306142.15,6380945.91,0,2933278,20694062,187738,62650.69,305490.19,43150,509949,399049.58,0,12539,365419,40073,143677.58,2453432.11,18889,22231,200,54477,138615.55,1624696.69,838,31105,13872.47,591995,2675011,146860.63,0,0,1055663,61973,1239772,1344234.21,5933294,7.25,42078,114155.38,6273612,6545056
103458,1248,22151.35,419606,816854.08,229,92561.84,1009582,132242,5475,16929.33,49362.51,43366,78756.74,200,0,0,99721.73,736324,0,2428946,65672,306142.15,373244.41,100018,360855.38,6960597.86,43150,3322588,6743345,313533,143797.92,183115.55,457,51938,206934.14,0,40215,263565,54477,138615.55,2721417.43,610033,294,58080,67090,224764.84,1982389.16,40,0,0,28949,3023868,278604.56,8,46,1239772,104158,821073,1293451.97,6545056,0,68354,153012.57,3769702,6273612
5475,826,49362.51,362615,639226.88,169,121769.8,1390818,43902,526731,369083.21,3437.58,65672,6380945.91,10,8,16.02,98346.39,75157,0,2933278,100018,360855.38,231227.64,190352,402245.56,2282607.63,457,3274391,4302,50195,23580.51,143677.58,57069.4,18889,100469.76,17450.54,124598,285513,67090,224764.84,3998669.5,591995,89,0,90141,211212.06,957026.72,0,8,46,436292,4945797,350185.9,627,2654.65,821073,76632,1040839,2426508.28,6273612,81.73,38850,61065.8,2216324,3769702
526731,159,3437.58,545395,1018063.8,119,165427.15,1270742,36142,547240,373244.41,4643.49,100018,6960597.86,230,187738,62650.69,70409.51,84152,43150,3322588,190352,402245.56,152238.9,141427,496463.74,215308.77,57069.4,2620497,31816,5,57,138615.55,7133.61,610033,587605.67,6196.08,29346,440479,90141,211212.06,1358384.77,28949,469,450,31388,77838.9,1344234.21,1,627,2654.65,28780,2545104,328996.72,96,318.17,1040839,64430,1271612,2261931.54,3769702,987.68,26170,122200.28,1798532,2216324
547240,257,4643.49,436977,974217.06,197,305490.19,820571,509949,1112172,231227.64,6390.12,190352,2282607.63,0,313533,143797.92,37025.23,76713,457,3274391,141427,496463.74,293535.01,111794,389519.41,69742.64,7133.61,2658367,34000,31105,13872.47,224764.84,1241.26,591995,2023055.02,0,62573,97963,31388,77838.9,2529010.63,436292,7173,0,35183,95177.15,1293451.97,1505,96,318.17,47020,2689880,237800.42,24423,10176.34,1271612,47305,1083855,2262517.93,2216324,1505.98,61299,87882.14,3732375,1798532
