@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R7,31-32,44,52,79,102,129,138-139,141,162,173,185-186,192,215-216,286,319,339-340,373,386,431,437,443,473,487-488,514,523-524,591-592,594,621,626-627,701,704,736,745-746,771,780,793,801-802,810-811,823,826,864,873,899-900,928'

@attribute PESO_3_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_11_lag11 numeric
@attribute VALOR_15_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute VALOR_1_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute PESO_18_lag10 numeric
@attribute PESO_21_lag10 numeric
@attribute VALOR_21_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_3_lag9 numeric
@attribute PESO_7_lag9 numeric
@attribute PESO_11_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_13_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute PESO_19_lag8 numeric
@attribute VALOR_4_lag7 numeric
@attribute PESO_11_lag7 numeric
@attribute VALOR_11_lag7 numeric
@attribute VALOR_22_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute PESO_20_lag6 numeric
@attribute VALOR_4_lag5 numeric
@attribute PESO_9_lag5 numeric
@attribute VALOR_9_lag5 numeric
@attribute PESO_18_lag5 numeric
@attribute PESO_21_lag5 numeric
@attribute VALOR_21_lag5 numeric
@attribute PESO_18_lag4 numeric
@attribute VALOR_18_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_2_lag3 numeric
@attribute PESO_4_lag3 numeric
@attribute VALOR_4_lag3 numeric
@attribute VALOR_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_15_lag2 numeric
@attribute PESO_18_lag2 numeric
@attribute VALOR_18_lag2 numeric
@attribute PESO_1_lag1 numeric
@attribute PESO_4_lag1 numeric
@attribute VALOR_8_lag1 numeric
@attribute PESO_11_lag1 numeric
@attribute VALOR_11_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute VALOR_18_lag1 numeric
@attribute VALOR_19_lag1 numeric
@attribute VALOR_6_lag0 numeric
@attribute VALOR_9_lag0 numeric
@attribute PESO_18_lag0 numeric
@attribute VALOR_18_lag0 numeric
@attribute PESO_7_ahead4 numeric

@data
2604390,18732,7008.48,14019.28,24182,0,191601,26001,65717,100302.51,1440375,9898407.67,3253263,0,0,35331.62,27101,43791.68,29614,238468.01,35,178,1361495.97,2000,19603,41501,65707,212836.04,419606,816854.08,63870,22980,62028.74,45300,221603.55,736324,245927.8,526731,369083.21,16758451.87,373244.41,18026906,45260,145118.86,16000,1112172,2107147.01,3751,2592.54,313533,143797.92,292479.98,183115.55,496463.74,770023,65369,242468.02,9780713
3480015,10,44,18047.94,26001,8489.9,367543,41235,27101,43791.68,883962,12847381.37,2556898,12,54,0,44199,89754.32,48652,232682.21,447,1171.04,1741482.85,39953,27337,63870,75700,16929.33,362615,639226.88,45300,52798,143771.65,33178,125387.42,75157,249969.87,547240,373244.41,12818635.81,231227.64,17994532,60961,292479.98,1,80833,1876745.71,160,366.92,50195,23580.51,242468.02,143677.58,389519.41,531688.15,81949,348039.91,2429763
1950189,0,0,4523028.81,41235,0,235563,24945,44199,89754.32,1080091,10189232.19,3835614,35,178,0,50004,139159.92,41543,212836.04,229,286.11,1454869.45,529,35122,45300,120337,369083.21,545395,1018063.8,33178,67954,252846.56,45260,145118.86,84152,399049.58,1112172,231227.64,12454190.02,152238.9,4057757,65369,242468.02,18054,149275,2863260.21,330,560.47,5,57,348039.91,138615.55,355449.56,671460.24,106172,432040.54,1459708
2519919,12,54,2944264.48,24945,42208.93,347303,43353,50004,139159.92,735355,12014211.99,8493951,447,1171.04,0,47244,89954.29,45951,16929.33,169,398.44,2794516.46,0,27450,33178,77365,373244.41,436977,974217.06,45260,28242,59528.48,60961,292479.98,76713,206934.14,80833,152238.9,10724002.04,293535.01,12211,81949,348039.91,838,128886,4525102.68,12,32,31105,13872.47,432040.54,224764.84,171660.78,916758.87,38258,158021.05,1421997
2224967,35,178,3790163.44,43353,14000,213197,41501,47244,89954.29,752049,9764840.17,2450521,229,286.11,4724,22980,62028.74,736324,369083.21,119,272.58,4323053.04,0,26011,45260,73581,231227.64,288560,611353.41,60961,44707,118505.62,65369,242468.02,40073,100469.76,149275,293535.01,12863777.02,175568.22,4011272,106172,432040.54,40,92984,3914226.05,808,49722.61,0,0,158021.05,211212.06,281812.97,247983.49,55566,201506.13,676069
2952080,447,1171.04,11325579.42,41501,97092.68,419606,63870,22980,62028.74,1009582,9997412.46,853642,169,398.44,17808.96,52798,143771.65,75157,373244.41,197,245.11,1729342.32,16000,12539,60961,68049,152238.9,365419,770023,65369,25208,43669.21,81949,348039.91,54477,587605.67,128886,175568.22,14907680.2,146860.63,56370,38258,158021.05,0,344169,3291361.2,264,360.59,8,46,201506.13,77838.9,372821.04,336731.73,63675,250244.07,1061285
2458775,229,286.11,5384668.23,63870,11261.3,362615,45300,52798,143771.65,1390818,11617054.93,538373,119,272.58,499.5,67954,252846.56,84152,231227.64,3751,2592.54,2848835.22,1,40215,65369,79264,293535.01,263565,531688.15,81949,27901,47304.91,106172,432040.54,67090,2023055.02,92984,146860.63,14082570.48,278604.56,13087,55566,201506.13,1,390348,5521115.21,276,375.26,627,2654.65,250244.07,95177.15,394979.23,502386.36,74159,268957.02,357290
2286615,169,398.44,17972672.14,45300,0,545395,33178,67954,252846.56,1270742,16758451.87,207290,197,245.11,2386.59,28242,59528.48,76713,152238.9,160,366.92,3017653.67,18054,124598,81949,54417,175568.22,285513,671460.24,106172,130863,172569.51,38258,158021.05,90141,164033.53,344169,278604.56,15064437.1,350185.9,3998938,63675,250244.07,1505,334325,5048602.48,234,461.87,96,318.17,268957.02,247827.4,346879.2,740044.14,27018,113215.11,1072040
2428946,119,272.58,8256298.58,33178,0,436977,45260,28242,59528.48,820571,12818635.81,865174,3751,2592.54,0,44707,118505.62,40073,293535.01,330,560.47,1624696.69,838,29346,106172,56687,146860.63,440479,916758.87,38258,19664,30657.33,55566,201506.13,31388,447013.52,390348,350185.9,12986790.13,328996.72,13752,74159,268957.02,3189,196092,5805313.17,9204,73416.43,24423,10176.34,113215.11,158684.46,221659.08,633447.12,25800,100814.41,1310932
2933278,197,245.11,11275992.17,45260,43150,288560,60961,44707,118505.62,1179117,12454190.02,1325578,160,366.92,0,25208,43669.21,54477,175568.22,12,32,1982389.16,40,62573,38258,202896,278604.56,97963,247983.49,55566,33979,124553.86,63675,250244.07,35183,220900.24,334325,328996.72,13252530.78,237800.42,3009649,27018,113215.11,22455,233037,3563721.38,2791,3756.38,24049,8573,100814.41,105826.01,363058.79,1152615.49,32883,114132.73,1569340
3322588,3751,2592.54,11247431.93,60961,457,365419,65369,25208,43669.21,898453,10724002.04,1495317,330,560.47,17450.54,27901,47304.91,67090,146860.63,808,49722.61,957026.72,0,23903,55566,63012,350185.9,166944,336731.73,63675,37689,78509.35,74159,268957.02,90445,258874.15,196092,237800.42,12531576.51,241132.16,3519212,25800,100814.41,0,167817,2409286.15,201,373.01,817,2930.04,114132.73,125176.75,493520.69,956079.14,41706,190105.42,3179457
3274391,160,366.92,2183224.33,65369,57069.4,263565,81949,27901,47304.91,747336,12863777.02,3047421,12,32,6196.08,130863,172569.51,90141,278604.56,264,360.59,1344234.21,1,42078,63675,67633,328996.72,237377,502386.36,74159,83412,101520.61,27018,113215.11,68522,877627.71,233037,241132.16,19634617.07,245904.38,10202,32883,114132.73,0,200518,2759450.93,25176,8504.63,24072,8862.19,190105.42,90555.97,513071.07,1184445.51,63626,293102.8,2767615
2620497,330,560.47,13759.83,81949,7133.61,285513,106172,130863,172569.51,929046,14907680.2,2715935,808,49722.61,0,19664,30657.33,31388,350185.9,276,375.26,1293451.97,1505,68354,74159,115242,237800.42,371147,740044.14,27018,58563,110715.38,25800,100814.41,34512,229241.38,167817,245904.38,22058347.88,300114.91,324035,41706,190105.42,38,326975,3104524.64,15026,6947.34,420,351.46,293102.8,185897.22,558333.71,1240748.48,22713,46877.58,2487279
2658367,12,32,1928608.86,106172,1241.26,440479,38258,19664,30657.33,1055663,14082570.48,9780713,264,360.59,15984.83,33979,124553.86,35183,328996.72,234,461.87,2426508.28,3189,38850,27018,74603,241132.16,328315,633447.12,25800,24070,37963.4,32883,114132.73,44204,405213.73,200518,300114.91,15012623.96,337868.11,100085,63626,293102.8,15050,287144,2900994.54,254,386.41,88,349.55,46877.58,231086.52,483040.08,664454.93,75815,367306.93,3663372
2675011,808,49722.61,63541.14,38258,0,97963,55566,33979,124553.86,1239772,15064437.1,2429763,276,375.26,7.25,37689,78509.35,90445,237800.42,9204,73416.43,2261931.54,22455,26170,25800,63525,245904.38,471439,1152615.49,32883,66805,78649.77,41706,190105.42,34298,468804.27,326975,337868.11,13702843.61,285242.56,2099329,22713,46877.58,115,360620,4909673.26,12262,28889.12,2134,10695.62,367306.93,105812,387277.43,892627.02,69442,311053.63,2370005
3023868,264,360.59,15873.98,55566,80.96,166944,63675,37689,78509.35,821073,12986790.13,1459708,234,461.87,0,83412,101520.61,68522,241132.16,2791,3756.38,2262517.93,0,61299,32883,71970,300114.91,439311,956079.14,41706,30582,65641.38,63626,293102.8,46690,153380.87,287144,285242.56,16206772.96,357924.48,1395761,75815,367306.93,0,44755,2620563.39,5967,4762.32,3014,1071.39,311053.63,84097.39,351876.29,1242678.72,52785,202007.5,2240413
