@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R19,26,37,64,68,87,90-91,102-103,133,164-165,168,170-171,189,191,201,209,233,247-248,324-325,360,387,392,419,441,464,466-467,500,550,594,618,620,629,653,672,713,775,777,810-811,828-829,834,863,911-912,915,925,927,926'

@attribute PESO_7_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute VALOR_23_lag11 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_5_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute VALOR_19_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute VALOR_4_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute VALOR_16_lag9 numeric
@attribute PESO_19_lag9 numeric
@attribute VALOR_1_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_3_lag6 numeric
@attribute PESO_12_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_2_lag5 numeric
@attribute VALOR_2_lag5 numeric
@attribute VALOR_13_lag5 numeric
@attribute VALOR_4_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_1_lag3 numeric
@attribute PESO_2_lag3 numeric
@attribute PESO_5_lag3 numeric
@attribute PESO_13_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute VALOR_7_lag2 numeric
@attribute VALOR_2_lag1 numeric
@attribute PESO_3_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute PESO_20_lag1 numeric
@attribute VALOR_20_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute PESO_6_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute VALOR_23_lag0 numeric
@attribute PESO_8_ahead1 numeric
@attribute PESO_8_ahead3 numeric
@attribute PESO_8_ahead2 numeric

@data
872888,768531.69,24,1339104,5817757.11,141836,552,26646.63,191601,548011.7,65425.25,188678,257511.91,181107.86,76514,270164.29,1856111.81,6008,61334.01,41417,0,60491,260242.76,71665,349717.52,43353,14000,2952080,29643,88474.03,97092.68,316817,441468.15,4724,16929.33,736324,0,43902,159,10,165427.15,177614.13,399049.58,3322588,313533,143797.92,68049,90535.65,1179117,141427,898453,3017653.67,2453432.11,4655949,4341390,5650392
5614224,548011.7,0,1440375,10327555.47,188678,43505,181107.86,367543,749606.91,87151.41,137461,294683.31,63296.53,60491,260242.76,36046.05,0,46562.74,29614,42208.93,71665,349717.52,55843,251952.59,41501,97092.68,2458775,75956,92561.84,11261.3,132242,268627.52,17808.96,369083.21,75157,0,36142,257,230,305490.19,599726.56,206934.14,3274391,50195,23580.51,79264,80458.7,898453,111794,747336,1624696.69,2721417.43,5650392,3371997,4341390
3253263,749606.91,6008,883962,7298343.69,137461,1107,63296.53,235563,490356.57,65983.8,139512,238468.01,91017.51,71665,349717.52,51312.38,0,92210.44,48652,14000,55843,251952.59,64638,327853,63870,11261.3,2286615,64713,121769.8,0,43902,245927.8,499.5,373244.41,84152,43150,509949,126,0,183115.55,887766.1,100469.76,2620497,5,57,54417,76506.73,747336,105744,929046,1982389.16,3998669.5,4341390,5933294,3371997
2556898,490356.57,0,1080091,10635805.21,139512,22510,91017.51,347303,799378.13,155875.81,133677,232682.21,41644.74,55843,251952.59,44976.9,0,63346.45,41543,97092.68,64638,327853,43366,274937.74,45300,0,2428946,20001427,165427.15,0,36142,249969.87,2386.59,231227.64,76713,457,51938,55,0,143677.58,834056.03,587605.67,2658367,31105,13872.47,56687,60591.21,929046,44234,1055663,957026.72,1358384.77,3371997,6545056,5933294
3835614,799378.13,0,735355,9438437,133677,551,41644.74,213197,500402.77,88474.03,103458,212836.04,22151.35,64638,327853,55722.25,400,81277.62,45951,11261.3,43366,274937.74,65672,306142.15,33178,0,2933278,20694062,305490.19,43150,509949,399049.58,0,152238.9,40073,57069.4,18889,22231,200,138615.55,1798914.67,2023055.02,2675011,0,0,202896,266983.5,1055663,61973,1239772,1344234.21,2529010.63,5933294,6273612,6545056
8493951,500402.77,0,752049,7379099.82,103458,1248,22151.35,419606,816854.08,92561.84,5475,16929.33,49362.51,43366,274937.74,78756.74,200,99721.73,736324,0,65672,306142.15,100018,360855.38,45260,43150,3322588,6743345,183115.55,457,51938,206934.14,0,293535.01,54477,7133.61,610033,294,58080,224764.84,1689108.12,164033.53,3023868,8,46,63012,72614.17,1239772,104158,821073,1293451.97,2538371.4,6545056,3769702,6273612
2450521,816854.08,400,1009582,5501257.11,5475,826,49362.51,362615,639226.88,121769.8,526731,369083.21,3437.58,65672,306142.15,6380945.91,10,98346.39,75157,0,100018,360855.38,190352,402245.56,60961,457,3274391,4302,143677.58,57069.4,18889,100469.76,17450.54,175568.22,67090,1241.26,591995,89,0,211212.06,3132144.16,447013.52,4945797,627,2654.65,67633,79783.8,821073,76632,1040839,2426508.28,1295384.52,6273612,2216324,3769702
853642,639226.88,200,1390818,2856043.47,526731,159,3437.58,545395,1018063.8,165427.15,547240,373244.41,4643.49,100018,360855.38,6960597.86,230,70409.51,84152,43150,190352,402245.56,141427,496463.74,65369,57069.4,2620497,31816,138615.55,7133.61,610033,587605.67,6196.08,146860.63,90141,0,28949,469,450,77838.9,1474373.9,220900.24,2545104,96,318.17,115242,118101.39,1040839,64430,1271612,2261931.54,3738895.25,3769702,1798532,2216324
538373,1018063.8,10,1270742,5668553.47,547240,257,4643.49,436977,974217.06,305490.19,1112172,231227.64,6390.12,190352,402245.56,2282607.63,0,37025.23,76713,457,141427,496463.74,111794,389519.41,81949,7133.61,2658367,34000,224764.84,1241.26,591995,2023055.02,0,278604.56,31388,80.96,436292,7173,0,95177.15,940062.31,258874.15,2689880,24423,10176.34,74603,91078.74,1271612,47305,1083855,2262517.93,2310593.12,2216324,3732375,1798532
207290,974217.06,230,820571,6447566.78,1112172,126,6390.12,288560,611353.41,183115.55,80833,152238.9,3168.93,141427,496463.74,215308.77,0,63625.17,40073,57069.4,111794,389519.41,105744,355449.56,106172,1241.26,2675011,8801628,211212.06,0,28949,164033.53,15984.83,350185.9,35183,24726.61,28780,344,0,247827.4,943298.68,877627.71,3346391,24049,8573,63525,78783.74,1083855,78352,1257053,3538525.3,3130116.77,1798532,4799001,3732375
