,VALOR_14_lag10,PESO_5_lag9,PESO_16_lag9,VALOR_18_lag9,PESO_21_lag8,VALOR_21_lag8,NUM_OPERACIONES_3_lag7,PESO_18_lag7,PESO_19_lag7,VALOR_21_lag6,PESO_4_lag5,PESO_5_lag5,PESO_13_lag5,VALOR_15_lag5,PESO_1_lag4,PESO_6_lag4,VALOR_11_lag4,VALOR_6_lag3,PESO_5_lag2,NUM_OPERACIONES_21_lag2,NUM_OPERACIONES_8_lag1,PESO_9_lag1,PESO_18_lag1,VALOR_16_lag0,PESO_18_lag11,VALOR_14_lag10,NUM_OPERACIONES_6_lag9,PESO_13_lag9,VALOR_14_lag9,PESO_16_lag8,VALOR_18_lag8,VALOR_1_lag7,NUM_OPERACIONES_3_lag7,VALOR_9_lag7,PESO_18_lag7,PESO_21_lag7,VALOR_21_lag7,NUM_OPERACIONES_3_lag6,VALOR_13_lag6,PESO_18_lag6,PESO_19_lag6,PESO_13_lag4,VALOR_15_lag4,VALOR_11_lag3,VALOR_14_lag3,VALOR_6_lag2,VALOR_21_lag2,PESO_5_lag1,PESO_21_lag1,NUM_OPERACIONES_21_lag1,NUM_OPERACIONES_2_lag0,NUM_OPERACIONES_8_lag0,PESO_10_lag0,PESO_13_lag0,PESO_18_lag0,PESO_22_lag11,w_racha_dir_lag10,NUM_OPERACIONES_1_lag9,NUM_OPERACIONES_13_lag9,NUM_OPERACIONES_6_lag8,w_med_lag8,NUM_OPERACIONES_14_lag7,NUM_OPERACIONES_1_lag6,NUM_OPERACIONES_3_lag6,NUM_OPERACIONES_14_lag6,NUM_OPERACIONES_5_lag5,NUM_OPERACIONES_15_lag5,NUM_OPERACIONES_1_lag4,VALOR_4_lag4,PESO_15_lag3,NUM_OPERACIONES_15_lag3,w_racha_speed_lag3,NUM_OPERACIONES_5_lag2,NUM_OPERACIONES_12_lag2,NUM_OPERACIONES_14_lag2,NUM_OPERACIONES_5_lag1,w_racha_speed_lag1,NUM_OPERACIONES_11_lag0,NUM_OPERACIONES_17_lag0,w_racha_speed_lag0,PESO_3_lag11,PESO_11_lag11,VALOR_11_lag11,VALOR_15_lag11,PESO_18_lag11,VALOR_1_lag10,PESO_9_lag10,PESO_18_lag10,PESO_21_lag10,VALOR_21_lag10,PESO_22_lag10,VALOR_3_lag9,PESO_7_lag9,PESO_11_lag9,VALOR_11_lag9,VALOR_13_lag9,PESO_21_lag9,VALOR_21_lag9,PESO_19_lag8,VALOR_4_lag7,PESO_11_lag7,VALOR_11_lag7,VALOR_22_lag7,PESO_1_lag6,PESO_16_lag6,PESO_18_lag6,PESO_20_lag6,VALOR_4_lag5,PESO_9_lag5,VALOR_9_lag5,PESO_18_lag5,PESO_21_lag5,VALOR_21_lag5,PESO_18_lag4,VALOR_18_lag4,PESO_19_lag4,VALOR_2_lag3,PESO_4_lag3,VALOR_4_lag3,VALOR_3_lag2,VALOR_4_lag2,PESO_15_lag2,PESO_18_lag2,VALOR_18_lag2,PESO_1_lag1,PESO_4_lag1,VALOR_8_lag1,PESO_11_lag1,VALOR_11_lag1,PESO_14_lag1,VALOR_14_lag1,VALOR_18_lag1,VALOR_19_lag1,VALOR_6_lag0,VALOR_9_lag0,PESO_18_lag0,VALOR_18_lag0,NUM_OPERACIONES_14_lag11,w_racha_speed_lag11,PESO_15_lag10,hr_lag10,PIB_lag10,VALOR_21_lag9,PESO_22_lag9,VALOR_11_lag8,NUM_OPERACIONES_13_lag7,NUM_OPERACIONES_14_lag5,hr_lag5,VALOR_4_lag4,NUM_OPERACIONES_5_lag3,VALOR_4_lag2,VALOR_15_lag1,VALOR_8_lag0,NUM_OPERACIONES_14_lag0,VALOR_18_lag0,VALOR_19_lag0,PESO_1_lag11,VALOR_3_lag11,VALOR_6_lag11,NUM_OPERACIONES_12_lag10,NUM_OPERACIONES_14_lag10,PESO_17_lag10,w_med_lag10,hr_lag10,hr_lag9,PESO_22_lag8,VALOR_3_lag7,VALOR_11_lag7,NUM_OPERACIONES_1_lag6,NUM_OPERACIONES_13_lag6,VALOR_14_lag5,hr_lag4,NUM_OPERACIONES_1_lag3,VALOR_4_lag3,PESO_21_lag3,NUM_OPERACIONES_5_lag2,VALOR_4_lag1,VALOR_15_lag0
Oct/15,0.0,43505.0,24371.0,183803.88,44199.0,89754.32,1719.0,43353.0,48652.0,89954.29,103458.0,1248.0,400.0,5384668.23,529.0,43366.0,398.44,306142.15,257.0,188.0,86.0,288560.0,60961.0,63625.17,24182.0,0.0,47.0,6008.0,0.0,15465.0,52634.11,42208.93,1719.0,799378.13,43353.0,50004.0,139159.92,1840.0,0.0,41501.0,41543.0,200.0,17972672.14,272.58,16.02,360855.38,59528.48,126.0,44707.0,152.0,90.0,103.0,89333622.0,0.0,65369.0,1339104.0,7.0,3.0,2.0,67.0,22.0,1.0,1.0,1840.0,3.0,11.0,15.0,3.0,16929.33,13230916.0,17.0,22.5,15.0,16.0,6.0,16.0,19.4,12.0,84.0,16.9,2604390.0,18732.0,7008.48,14019.28,24182.0,0.0,191601.0,26001.0,65717.0,100302.51,1440375.0,9898407.67,3253263.0,0.0,0.0,35331.62,27101.0,43791.68,29614.0,238468.01,35.0,178.0,1361495.97,2000.0,19603.0,41501.0,65707.0,212836.04,419606.0,816854.08,63870.0,22980.0,62028.74,45300.0,221603.55,736324.0,245927.8,526731.0,369083.21,16758451.87,373244.41,18026906.0,45260.0,145118.86,16000.0,1112172.0,2107147.01,3751.0,2592.54,313533.0,143797.92,292479.98,183115.55,496463.74,770023.0,65369.0,242468.02,0.0,25.6,16357.0,80.0,288049.0,43791.68,883962.0,54.0,0.0,3.0,78.0,16929.33,17.0,373244.41,11247431.93,1876745.71,5.0,242468.02,143677.58,17001.0,12959686.76,404178.42,15.0,0.0,30107568.0,18.0,80.0,83.0,1080091.0,10189232.19,178.0,1.0,0.0,165.76,79.0,0.0,369083.21,67954.0,15.0,231227.64,2183224.33
Nov/15,0.0,1107.0,15465.0,52634.11,50004.0,139159.92,1840.0,41501.0,41543.0,62028.74,5475.0,826.0,200.0,17972672.14,0.0,65672.0,272.58,360855.38,126.0,152.0,103.0,365419.0,65369.0,243519.94,26001.0,0.0,67.0,0.0,0.0,44547.0,119444.75,14000.0,1840.0,500402.77,41501.0,47244.0,89954.29,1711.0,4724.0,63870.0,45951.0,10.0,8256298.58,245.11,62650.69,402245.56,118505.62,55.0,25208.0,167.0,81.0,103.0,52842218.0,200.0,81949.0,1440375.0,26.0,0.0,0.0,71.0,20.0,3.0,4.0,1711.0,3.0,20.0,24.0,0.0,369083.21,18026906.0,18.0,21.9,16.0,11.0,17.0,12.0,16.9,15.0,86.0,23.6,3480015.0,10.0,44.0,18047.94,26001.0,8489.9,367543.0,41235.0,27101.0,43791.68,883962.0,12847381.37,2556898.0,12.0,54.0,0.0,44199.0,89754.32,48652.0,232682.21,447.0,1171.04,1741482.85,39953.0,27337.0,63870.0,75700.0,16929.33,362615.0,639226.88,45300.0,52798.0,143771.65,33178.0,125387.42,75157.0,249969.87,547240.0,373244.41,12818635.81,231227.64,17994532.0,60961.0,292479.98,1.0,80833.0,1876745.71,160.0,366.92,50195.0,23580.51,242468.02,143677.58,389519.41,531688.15,81949.0,348039.91,0.0,20.3,6829753.0,83.0,305396.0,89754.32,1080091.0,178.0,0.0,0.0,79.0,369083.21,15.0,231227.64,2183224.33,2863260.21,1.0,348039.91,138615.55,0.0,17680737.43,422897.86,14.0,0.0,23228895.0,21.0,83.0,81.0,735355.0,12014211.99,1171.04,4.0,1.0,0.0,81.0,0.0,373244.41,28242.0,16.0,152238.9,13759.83
Dic/15,0.0,22510.0,44547.0,119444.75,47244.0,89954.29,1711.0,63870.0,45951.0,143771.65,526731.0,159.0,10.0,8256298.58,0.0,100018.0,245.11,402245.56,55.0,167.0,103.0,263565.0,81949.0,88359.02,41235.0,0.0,71.0,0.0,74.75,19603.0,116629.73,97092.68,1711.0,816854.08,63870.0,22980.0,62028.74,2016.0,17808.96,45300.0,736324.0,230.0,11275992.17,2592.54,143797.92,496463.74,43669.21,22231.0,27901.0,146.0,31.0,165.0,930856.0,58080.0,106172.0,883962.0,8.0,1.0,0.0,50.0,25.0,3.0,3.0,2016.0,0.0,17.0,17.0,0.0,373244.41,17994532.0,20.0,19.4,12.0,15.0,5.0,15.0,23.6,2.0,135.0,21.9,1950189.0,0.0,0.0,4523028.81,41235.0,0.0,235563.0,24945.0,44199.0,89754.32,1080091.0,10189232.19,3835614.0,35.0,178.0,0.0,50004.0,139159.92,41543.0,212836.04,229.0,286.11,1454869.45,529.0,35122.0,45300.0,120337.0,369083.21,545395.0,1018063.8,33178.0,67954.0,252846.56,45260.0,145118.86,84152.0,399049.58,1112172.0,231227.64,12454190.02,152238.9,4057757.0,65369.0,242468.02,18054.0,149275.0,2863260.21,330.0,560.47,5.0,57.0,348039.91,138615.55,355449.56,671460.24,106172.0,432040.54,0.0,21.7,5041542.0,81.0,305396.0,139159.92,735355.0,1171.04,1.0,1.0,81.0,373244.41,16.0,152238.9,13759.83,4525102.68,3.0,432040.54,224764.84,2000.0,9898407.67,270164.29,11.0,0.0,27822518.0,22.0,81.0,84.0,752049.0,9764840.17,286.11,3.0,1.0,16.02,83.0,1.0,231227.64,44707.0,12.0,293535.01,1928608.86
Ene/16,74.75,551.0,19603.0,116629.73,22980.0,62028.74,2016.0,45300.0,736324.0,252846.56,547240.0,257.0,230.0,11275992.17,16000.0,190352.0,2592.54,496463.74,22231.0,146.0,165.0,285513.0,106172.0,196394.79,24945.0,74.75,50.0,0.0,100.56,27337.0,186778.65,11261.3,2016.0,639226.88,45300.0,52798.0,143771.65,1720.0,499.5,33178.0,75157.0,0.0,11247431.93,366.92,23580.51,389519.41,47304.91,294.0,130863.0,301.0,84.0,135.0,51221136.0,0.0,38258.0,1080091.0,9.0,1.0,0.0,88.0,26.0,0.0,0.0,1720.0,1.0,15.0,18.0,1.0,231227.64,4057757.0,14.0,16.9,15.0,13.0,1.0,19.0,21.9,20.0,84.0,26.1,2519919.0,12.0,54.0,2944264.48,24945.0,42208.93,347303.0,43353.0,50004.0,139159.92,735355.0,12014211.99,8493951.0,447.0,1171.04,0.0,47244.0,89954.29,45951.0,16929.33,169.0,398.44,2794516.46,0.0,27450.0,33178.0,77365.0,373244.41,436977.0,974217.06,45260.0,28242.0,59528.48,60961.0,292479.98,76713.0,206934.14,80833.0,152238.9,10724002.04,293535.01,12211.0,81949.0,348039.91,838.0,128886.0,4525102.68,12.0,32.0,31105.0,13872.47,432040.54,224764.84,171660.78,916758.87,38258.0,158021.05,0.0,22.8,5864290.0,84.0,305396.0,89954.29,752049.0,286.11,1.0,6.0,83.0,231227.64,12.0,293535.01,1928608.86,3914226.05,0.0,158021.05,211212.06,0.0,12847381.37,260242.76,12.0,1.0,72964556.0,20.0,84.0,85.66666666666667,1009582.0,9997412.46,398.44,0.0,1.0,62650.69,82.0,1.0,152238.9,25208.0,15.0,175568.22,63541.14
Feb/16,100.56,1248.0,27337.0,186778.65,52798.0,143771.65,1720.0,33178.0,75157.0,59528.48,1112172.0,126.0,0.0,11247431.93,1.0,141427.0,366.92,389519.41,294.0,301.0,135.0,440479.0,38258.0,253723.81,43353.0,100.56,88.0,400.0,165.76,35122.0,221603.55,0.0,1720.0,1018063.8,33178.0,67954.0,252846.56,2123.0,2386.59,45260.0,84152.0,0.0,2183224.33,560.47,57.0,355449.56,172569.51,89.0,19664.0,182.0,77.0,115.0,80636021.0,450.0,55566.0,735355.0,7.0,4.0,1.0,66.0,26.0,1.0,0.0,2123.0,6.0,16.0,20.0,1.0,152238.9,12211.0,12.0,23.6,19.0,16.0,3.0,17.0,26.1,12.0,79.0,25.6,2224967.0,35.0,178.0,3790163.44,43353.0,14000.0,213197.0,41501.0,47244.0,89954.29,752049.0,9764840.17,2450521.0,229.0,286.11,4724.0,22980.0,62028.74,736324.0,369083.21,119.0,272.58,4323053.04,0.0,26011.0,45260.0,73581.0,231227.64,288560.0,611353.41,60961.0,44707.0,118505.62,65369.0,242468.02,40073.0,100469.76,149275.0,293535.01,12863777.02,175568.22,4011272.0,106172.0,432040.54,40.0,92984.0,3914226.05,808.0,49722.61,0.0,0.0,158021.05,211212.06,281812.97,247983.49,55566.0,201506.13,1.0,25.3,18548714.0,85.66666666666667,287460.0,62028.74,1009582.0,398.44,1.0,17.0,82.0,152238.9,15.0,175568.22,63541.14,3291361.2,1.0,201506.13,77838.9,2700.0,10189232.19,349717.52,12.0,3.0,126169.0,25.0,85.66666666666667,78.0,1390818.0,11617054.93,272.58,0.0,2.0,143797.92,80.0,3.0,293535.01,27901.0,19.0,146860.63,15873.98
Mar/16,165.76,826.0,35122.0,221603.55,67954.0,252846.56,2123.0,45260.0,84152.0,118505.62,80833.0,55.0,0.0,2183224.33,18054.0,111794.0,560.47,355449.56,89.0,182.0,115.0,97963.0,55566.0,114155.38,41501.0,165.76,66.0,200.0,0.0,27450.0,125387.42,0.0,2123.0,974217.06,45260.0,28242.0,59528.48,1511.0,0.0,60961.0,76713.0,200.0,13759.83,32.0,13872.47,171660.78,30657.33,469.0,33979.0,163.0,80.0,134.0,86945548.0,0.0,63675.0,752049.0,8.0,3.0,1.0,70.0,20.0,6.0,1.0,1511.0,17.0,12.0,14.0,3.0,293535.01,4011272.0,6.0,21.9,17.0,20.0,0.0,14.0,25.6,14.0,121.0,18.1,2952080.0,447.0,1171.04,11325579.42,41501.0,97092.68,419606.0,63870.0,22980.0,62028.74,1009582.0,9997412.46,853642.0,169.0,398.44,17808.96,52798.0,143771.65,75157.0,373244.41,197.0,245.11,1729342.32,16000.0,12539.0,60961.0,68049.0,152238.9,365419.0,770023.0,65369.0,25208.0,43669.21,81949.0,348039.91,54477.0,587605.67,128886.0,175568.22,14907680.2,146860.63,56370.0,38258.0,158021.05,0.0,344169.0,3291361.2,264.0,360.59,8.0,46.0,201506.13,77838.9,372821.04,336731.73,63675.0,250244.07,3.0,26.4,8238906.0,78.0,287460.0,143771.65,1390818.0,272.58,2.0,5.0,80.0,293535.01,19.0,146860.63,15873.98,5521115.21,4.0,250244.07,95177.15,2000.0,12014211.99,251952.59,12.0,3.0,750605.0,26.0,78.0,79.0,1270742.0,16758451.87,245.11,1.0,0.0,23580.51,82.0,3.0,175568.22,130863.0,17.0,278604.56,2148419.87
Abr/16,0.0,159.0,27450.0,125387.42,28242.0,59528.48,1511.0,60961.0,76713.0,43669.21,149275.0,22231.0,200.0,13759.83,838.0,105744.0,32.0,171660.78,469.0,163.0,134.0,166944.0,63675.0,153012.57,63870.0,0.0,70.0,10.0,16.02,26011.0,145118.86,43150.0,1511.0,611353.41,60961.0,44707.0,118505.62,1690.0,0.0,65369.0,40073.0,58080.0,1928608.86,49722.61,0.0,281812.97,124553.86,7173.0,37689.0,253.0,91.0,92.0,60522550.0,0.0,74159.0,1009582.0,7.0,0.0,1.0,45.0,21.0,17.0,1.0,1690.0,5.0,15.0,12.0,3.0,175568.22,56370.0,16.0,26.1,14.0,19.0,1.0,18.0,18.1,14.0,91.0,30.0,2458775.0,229.0,286.11,5384668.23,63870.0,11261.3,362615.0,45300.0,52798.0,143771.65,1390818.0,11617054.93,538373.0,119.0,272.58,499.5,67954.0,252846.56,84152.0,231227.64,3751.0,2592.54,2848835.22,1.0,40215.0,65369.0,79264.0,293535.01,263565.0,531688.15,81949.0,27901.0,47304.91,106172.0,432040.54,67090.0,2023055.02,92984.0,146860.63,14082570.48,278604.56,13087.0,55566.0,201506.13,1.0,390348.0,5521115.21,276.0,375.26,627.0,2654.65,250244.07,95177.15,394979.23,502386.36,74159.0,268957.02,3.0,21.7,28478261.0,79.0,287460.0,252846.56,1270742.0,245.11,0.0,1.0,82.0,175568.22,17.0,278604.56,2148419.87,5048602.48,5.0,268957.02,247827.4,39953.0,9764840.17,327853.0,12.0,0.0,2672370.0,26.0,79.0,81.0,820571.0,12818635.81,2592.54,1.0,0.0,57.0,82.0,1.0,146860.63,19664.0,14.0,350185.9,15988.14
May/16,16.02,257.0,26011.0,145118.86,44707.0,118505.62,1690.0,65369.0,40073.0,47304.91,128886.0,294.0,58080.0,1928608.86,40.0,44234.0,49722.61,281812.97,7173.0,253.0,92.0,237377.0,74159.0,61065.8,45300.0,16.02,45.0,230.0,62650.69,12539.0,292479.98,457.0,1690.0,770023.0,65369.0,25208.0,43669.21,1846.0,17450.54,81949.0,54477.0,0.0,63541.14,360.59,46.0,372821.04,78509.35,344.0,83412.0,201.0,90.0,165.0,30490025.0,1.0,27018.0,1390818.0,6.0,0.0,2.0,96.0,18.0,5.0,3.0,1846.0,1.0,19.0,6.0,1.0,146860.63,13087.0,15.0,25.6,18.0,21.0,4.0,22.0,30.0,19.0,107.0,24.2,2286615.0,169.0,398.44,17972672.14,45300.0,0.0,545395.0,33178.0,67954.0,252846.56,1270742.0,16758451.87,207290.0,197.0,245.11,2386.59,28242.0,59528.48,76713.0,152238.9,160.0,366.92,3017653.67,18054.0,124598.0,81949.0,54417.0,175568.22,285513.0,671460.24,106172.0,130863.0,172569.51,38258.0,158021.05,90141.0,164033.53,344169.0,278604.56,15064437.1,350185.9,3998938.0,63675.0,250244.07,1505.0,334325.0,5048602.48,234.0,461.87,96.0,318.17,268957.02,247827.4,346879.2,740044.14,27018.0,113215.11,0.0,22.2,13230916.0,81.0,295595.0,59528.48,820571.0,2592.54,0.0,3.0,82.0,146860.63,14.0,350185.9,15988.14,5805313.17,6.0,113215.11,158684.46,529.0,9997412.46,274937.74,20.0,1.0,862204.0,20.0,81.0,83.0,1179117.0,12454190.02,366.92,3.0,1.0,13872.47,78.0,0.0,278604.56,33979.0,18.0,328996.72,2100928.43
Jun/16,62650.69,126.0,12539.0,292479.98,25208.0,43669.21,1846.0,81949.0,54477.0,172569.51,92984.0,89.0,0.0,63541.14,0.0,61973.0,360.59,372821.04,344.0,201.0,165.0,371147.0,27018.0,122200.28,33178.0,62650.69,96.0,0.0,143797.92,40215.0,242468.02,57069.4,1846.0,531688.15,81949.0,27901.0,47304.91,2048.0,6196.08,106172.0,67090.0,450.0,15873.98,375.26,2654.65,394979.23,101520.61,49.0,58563.0,175.0,88.0,106.0,100249845.0,50.0,25800.0,1270742.0,8.0,1.0,0.0,89.0,15.0,1.0,3.0,2048.0,3.0,17.0,16.0,0.0,278604.56,3998938.0,16.0,18.1,22.0,29.0,5.0,11.0,24.2,18.0,93.0,23.6,2428946.0,119.0,272.58,8256298.58,33178.0,0.0,436977.0,45260.0,28242.0,59528.48,820571.0,12818635.81,865174.0,3751.0,2592.54,0.0,44707.0,118505.62,40073.0,293535.01,330.0,560.47,1624696.69,838.0,29346.0,106172.0,56687.0,146860.63,440479.0,916758.87,38258.0,19664.0,30657.33,55566.0,201506.13,31388.0,447013.52,390348.0,350185.9,12986790.13,328996.72,13752.0,74159.0,268957.02,3189.0,196092.0,5805313.17,9204.0,73416.43,24423.0,10176.34,113215.11,158684.46,221659.08,633447.12,25800.0,100814.41,1.0,22.5,18026906.0,83.0,295595.0,118505.62,1179117.0,366.92,1.0,0.0,78.0,278604.56,18.0,328996.72,2100928.43,3563721.38,4.0,100814.41,105826.01,0.0,11617054.93,306142.15,16.0,6.0,911766.0,21.0,83.0,82.0,898453.0,10724002.04,560.47,3.0,1.0,0.0,77.0,1.0,350185.9,37689.0,22.0,237800.42,2575514.96
Jul/16,143797.92,55.0,40215.0,242468.02,27901.0,47304.91,2048.0,106172.0,67090.0,30657.33,344169.0,469.0,450.0,15873.98,1.0,104158.0,375.26,394979.23,49.0,175.0,106.0,328315.0,25800.0,87882.14,45260.0,143797.92,89.0,0.0,23580.51,124598.0,348039.91,7133.61,2048.0,671460.24,106172.0,130863.0,172569.51,1933.0,0.0,38258.0,90141.0,0.0,2148419.87,461.87,318.17,346879.2,110715.38,48.0,24070.0,193.0,91.0,94.0,17071536.0,64.0,32883.0,820571.0,9.0,1.0,0.0,75.0,21.0,3.0,1.0,1933.0,0.0,14.0,15.0,1.0,350185.9,13752.0,18.0,30.0,11.0,21.0,6.0,10.0,23.6,15.0,96.0,23.75,2933278.0,197.0,245.11,11275992.17,45260.0,43150.0,288560.0,60961.0,44707.0,118505.62,1179117.0,12454190.02,1325578.0,160.0,366.92,0.0,25208.0,43669.21,54477.0,175568.22,12.0,32.0,1982389.16,40.0,62573.0,38258.0,202896.0,278604.56,97963.0,247983.49,55566.0,33979.0,124553.86,63675.0,250244.07,35183.0,220900.24,334325.0,328996.72,13252530.78,237800.42,3009649.0,27018.0,113215.11,22455.0,233037.0,3563721.38,2791.0,3756.38,24049.0,8573.0,100814.41,105826.01,363058.79,1152615.49,32883.0,114132.73,6.0,21.9,17994532.0,82.0,295595.0,43669.21,898453.0,560.47,1.0,1.0,77.0,350185.9,22.0,237800.42,2575514.96,2409286.15,5.0,114132.73,125176.75,0.0,16758451.87,360855.38,11.0,17.0,25005597.0,18.0,82.0,80.0,747336.0,12863777.02,32.0,1.0,0.0,46.0,79.0,2.0,328996.72,83412.0,11.0,241132.16,11558.65
Ago/16,23580.51,22231.0,124598.0,348039.91,130863.0,172569.51,1933.0,38258.0,90141.0,124553.86,390348.0,7173.0,0.0,2148419.87,1505.0,76632.0,461.87,346879.2,48.0,193.0,94.0,471439.0,32883.0,215721.59,60961.0,23580.51,75.0,200.0,57.0,29346.0,432040.54,1241.26,1933.0,916758.87,38258.0,19664.0,30657.33,1444.0,15984.83,55566.0,31388.0,0.0,15988.14,73416.43,10176.34,221659.08,37963.4,3078.0,66805.0,156.0,96.0,74.0,46298175.0,6.0,41706.0,1179117.0,8.0,3.0,1.0,98.0,26.0,0.0,0.0,1444.0,1.0,18.0,16.0,2.0,328996.72,3009649.0,23.0,24.2,10.0,18.0,4.0,15.0,23.75,13.0,116.0,23.3,3322588.0,3751.0,2592.54,11247431.93,60961.0,457.0,365419.0,65369.0,25208.0,43669.21,898453.0,10724002.04,1495317.0,330.0,560.47,17450.54,27901.0,47304.91,67090.0,146860.63,808.0,49722.61,957026.72,0.0,23903.0,55566.0,63012.0,350185.9,166944.0,336731.73,63675.0,37689.0,78509.35,74159.0,268957.02,90445.0,258874.15,196092.0,237800.42,12531576.51,241132.16,3519212.0,25800.0,100814.41,0.0,167817.0,2409286.15,201.0,373.01,817.0,2930.04,114132.73,125176.75,493520.69,956079.14,41706.0,190105.42,17.0,19.4,4057757.0,80.0,277868.0,47304.91,747336.0,32.0,0.0,4.0,79.0,328996.72,11.0,241132.16,11558.65,2759450.93,6.0,190105.42,90555.97,16000.0,12818635.81,402245.56,15.0,5.0,3361.0,15.0,80.0,82.0,929046.0,14907680.2,49722.61,0.0,2.0,2654.65,82.0,5.0,237800.42,58563.0,10.0,245904.38,200437.63
Sep/16,57.0,294.0,29346.0,432040.54,19664.0,30657.33,1444.0,55566.0,31388.0,78509.35,334325.0,344.0,0.0,15988.14,3189.0,64430.0,73416.43,221659.08,3078.0,156.0,74.0,439311.0,41706.0,53825.61,65369.0,57.0,98.0,58080.0,13872.47,62573.0,158021.05,0.0,1444.0,247983.49,55566.0,33979.0,124553.86,1859.0,7.25,63675.0,35183.0,1.0,2100928.43,3756.38,8573.0,363058.79,78649.77,27683.0,30582.0,189.0,96.0,75.0,38315383.0,476.0,63626.0,898453.0,10.0,3.0,1.0,57.0,20.0,1.0,1.0,1859.0,4.0,22.0,18.0,5.0,237800.42,3519212.0,16.0,23.6,15.0,15.0,5.0,17.0,23.3,16.0,102.0,21.1,3274391.0,160.0,366.92,2183224.33,65369.0,57069.4,263565.0,81949.0,27901.0,47304.91,747336.0,12863777.02,3047421.0,12.0,32.0,6196.08,130863.0,172569.51,90141.0,278604.56,264.0,360.59,1344234.21,1.0,42078.0,63675.0,67633.0,328996.72,237377.0,502386.36,74159.0,83412.0,101520.61,27018.0,113215.11,68522.0,877627.71,233037.0,241132.16,19634617.07,245904.38,10202.0,32883.0,114132.73,0.0,200518.0,2759450.93,25176.0,8504.63,24072.0,8862.19,190105.42,90555.97,513071.07,1184445.51,63626.0,293102.8,5.0,16.9,12211.0,82.0,277868.0,172569.51,929046.0,49722.61,2.0,5.0,82.0,237800.42,10.0,245904.38,200437.63,3104524.64,4.0,293102.8,185897.22,1.0,12454190.02,496463.74,13.0,1.0,60043.0,21.0,82.0,82.0,1055663.0,14082570.48,360.59,1.0,1.0,318.17,81.0,5.0,241132.16,24070.0,15.0,300114.91,68329.5
Oct/16,13872.47,89.0,62573.0,158021.05,33979.0,124553.86,1859.0,63675.0,35183.0,101520.61,196092.0,49.0,1.0,2100928.43,22455.0,47305.0,3756.38,363058.79,27683.0,189.0,75.0,464319.0,63626.0,184979.04,81949.0,13872.47,57.0,0.0,0.0,23903.0,201506.13,80.96,1859.0,336731.73,63675.0,37689.0,78509.35,1963.0,0.0,74159.0,90445.0,50.0,2575514.96,373.01,2930.04,493520.69,65641.38,58.0,39672.0,200.0,92.0,98.0,18834201.0,0.0,22713.0,747336.0,8.0,1.0,0.0,103.0,23.0,4.0,2.0,1963.0,5.0,11.0,23.0,5.0,241132.16,10202.0,9.0,23.75,17.0,14.0,6.0,15.0,21.1,15.0,97.0,22.5,2620497.0,330.0,560.47,13759.83,81949.0,7133.61,285513.0,106172.0,130863.0,172569.51,929046.0,14907680.2,2715935.0,808.0,49722.61,0.0,19664.0,30657.33,31388.0,350185.9,276.0,375.26,1293451.97,1505.0,68354.0,74159.0,115242.0,237800.42,371147.0,740044.14,27018.0,58563.0,110715.38,25800.0,100814.41,34512.0,229241.38,167817.0,245904.38,22058347.88,300114.91,324035.0,41706.0,190105.42,38.0,326975.0,3104524.64,15026.0,6947.34,420.0,351.46,293102.8,185897.22,558333.71,1240748.48,22713.0,46877.58,1.0,23.6,4011272.0,82.0,277868.0,30657.33,1055663.0,360.59,1.0,6.0,81.0,241132.16,15.0,300114.91,68329.5,2900994.54,4.0,46877.58,231086.52,18054.0,10724002.04,389519.41,16.0,3.0,26309043.0,26.0,82.0,78.0,1239772.0,15064437.1,375.26,2.0,0.0,10176.34,79.0,0.0,245904.38,66805.0,17.0,337868.11,1536011.69
Nov/16,0.0,469.0,23903.0,201506.13,37689.0,78509.35,1963.0,74159.0,90445.0,110715.38,233037.0,48.0,50.0,2575514.96,0.0,78352.0,373.01,493520.69,58.0,200.0,98.0,459047.0,22713.0,54038.19,106172.0,0.0,103.0,450.0,46.0,42078.0,250244.07,24726.61,1963.0,502386.36,74159.0,83412.0,101520.61,2247.0,81.73,27018.0,68522.0,64.0,11558.65,8504.63,8862.19,513071.07,100551.23,189.0,25828.0,241.0,69.0,113.0,10011065.0,625.0,75815.0,929046.0,10.0,0.0,2.0,87.0,17.0,5.0,5.0,2247.0,6.0,10.0,16.0,0.0,245904.38,324035.0,27.0,23.3,15.0,21.0,4.0,18.0,22.5,18.0,91.0,21.4,2658367.0,12.0,32.0,1928608.86,106172.0,1241.26,440479.0,38258.0,19664.0,30657.33,1055663.0,14082570.48,9780713.0,264.0,360.59,15984.83,33979.0,124553.86,35183.0,328996.72,234.0,461.87,2426508.28,3189.0,38850.0,27018.0,74603.0,241132.16,328315.0,633447.12,25800.0,24070.0,37963.4,32883.0,114132.73,44204.0,405213.73,200518.0,300114.91,15012623.96,337868.11,100085.0,63626.0,293102.8,15050.0,287144.0,2900994.54,254.0,386.41,88.0,349.55,46877.58,231086.52,483040.08,664454.93,75815.0,367306.93,3.0,21.9,56370.0,78.0,291178.0,124553.86,1239772.0,375.26,0.0,4.0,79.0,245904.38,17.0,337868.11,1536011.69,4909673.26,4.0,367306.93,105812.0,838.0,12863777.02,355449.56,20.0,0.0,15491.0,20.0,78.0,77.0,821073.0,12986790.13,461.87,5.0,1.0,8573.0,81.0,0.0,300114.91,30582.0,15.0,285242.56,967707.59
