PERIODO,PESO_1,VALOR_1,NUM_OPERACIONES_1,PESO_2,VALOR_2,NUM_OPERACIONES_2,PESO_3,VALOR_3,NUM_OPERACIONES_3,PESO_4,VALOR_4,NUM_OPERACIONES_4,PESO_5,VALOR_5,NUM_OPERACIONES_5,PESO_6,VALOR_6,NUM_OPERACIONES_6,PESO_7,VALOR_7,NUM_OPERACIONES_7,PESO_8,VALOR_8,NUM_OPERACIONES_8,PESO_9,VALOR_9,NUM_OPERACIONES_9,PESO_10,VALOR_10,NUM_OPERACIONES_10,PESO_11,VALOR_11,NUM_OPERACIONES_11,PESO_12,VALOR_12,NUM_OPERACIONES_12,PESO_13,VALOR_13,NUM_OPERACIONES_13,PESO_14,VALOR_14,NUM_OPERACIONES_14,PESO_15,VALOR_15,NUM_OPERACIONES_15,PESO_16,VALOR_16,NUM_OPERACIONES_16,PESO_17,VALOR_17,NUM_OPERACIONES_17,PESO_18,VALOR_18,NUM_OPERACIONES_18,PESO_19,VALOR_19,NUM_OPERACIONES_19,PESO_20,VALOR_20,NUM_OPERACIONES_20,PESO_21,VALOR_21,NUM_OPERACIONES_21,PESO_22,VALOR_22,NUM_OPERACIONES_22,PESO_23,VALOR_23,NUM_OPERACIONES_23,tm_mes,w_med,p_mes,hr,e,w_racha_dir,w_racha_speed,PIB
Oct/16,15050,47360.0,1,24859,153380.87,92,2449005,13702843.61,2145,287144,285242.56,160,189,4384.2,18,155865,558333.71,85,1310932,1049376.16,83,4799001,2900994.54,98,459047,1240748.48,43,18834201,3048759.69,23,254,386.41,15,2449,15123.24,15,0,0.0,0,88,349.55,4,2099329,1536011.69,17,71996,184979.04,117,412704,195546.3,97,22713,46877.58,108,57719,231086.52,370,67877,91383.05,164,25828,46758.04,241,1613547,2399691.86,157,24016750,5249678.25,126,20.8,25.0,40.9,85.0,211.0,13.0,22.5,266884.0
Nov/16,115,4451.45,3,19210,181682.69,69,2855971,16206772.96,2059,360620,357924.48,150,394,15068.24,20,112972,483040.08,127,1569340,911970.05,126,8419038,4909673.26,113,289468,664454.93,35,10011065,1592355.59,20,12262,28889.12,18,4583847,1367143.67,23,625,14752.5,3,2134,10695.62,4,1395761,967707.59,24,20819,54038.19,116,22059338,8144293.02,91,75815,367306.93,102,46561,105812.0,338,77855,85264.33,158,2372,15338.55,178,2282073,3197344.1,156,12881477,3414539.32,125,17.1,19.0,186.1,81.0,160.0,7.0,21.4,266884.0
Dic/16,0,0.0,0,503816,571875.95,101,2095038,13896753.21,1839,44755,93480.94,148,26,337.87,16,104809,387277.43,81,3179457,1887280.16,162,3696543,2620563.39,98,354209,892627.02,47,60949371,10616921.36,23,5967,4762.32,16,4685,26034.76,15,5140,123129.25,2,3014,1071.39,4,117,785.22,14,52128,166960.1,126,53374964,15725209.4,101,69442,311053.63,113,19812,84097.39,356,71023,105737.34,170,8132,44592.2,303,1647984,1778983.66,159,12292506,2479940.17,134,16.4,20.0,181.1,81.0,155.0,15.0,23.05,266884.0
Ene/17,17000,45144.76,1,15932,113871.38,72,2666062,18583574.39,2076,278474,304466.02,155,2941,15224.96,20,123296,351876.29,58,2767615,1770844.2,196,1015856,1478539.3,54,518507,1242678.72,40,47511975,7309304.8,30,338,514.78,15,5050,22836.44,20,0,0.0,0,59,311.28,4,10111,12119.57,15,17092,137026.81,110,52745449,22375093.13,89,52785,202007.5,99,34647,70393.74,311,68412,68746.45,142,51337,78288.37,314,667477,770265.08,153,7413480,2453844.08,114,13.6,20.0,15.6,73.0,120.0,10.0,26.1,282844.0
Feb/17,0,0.0,0,27448,201781.18,87,2314994,15487075.55,1611,115982,155438.55,141,1652,11947.06,20,85961,360602.0,159,2487279,1328134.38,195,1791627,3279539.35,80,213104,435789.89,36,4070019,641299.41,24,171,309.28,13,3869,28571.77,18,698,42377.5,1,87,373.0,5,7587,9023.45,15,66300,157781.25,115,61415927,26982930.79,96,27737,108398.95,92,53574,108753.15,312,73569,82836.74,151,65790,73434.66,279,914529,1802217.15,159,11505987,2490395.05,128,15.9,23.0,81.9,83.0,152.0,9.0,27.2,282844.0
Mar/17,59127,201236.73,5,1158733,2115098.18,113,2577410,15908271.6,1790,313143,459593.51,157,5079,47108.25,23,83912,284026.1,88,3663372,1923925.09,206,4960501,10402683.93,139,119922,281591.37,26,26489245,4195467.96,21,254,328.95,12,60659,94670.63,26,1308,77818.86,2,24444,10031.93,10,12772,14821.27,14,51173,149976.66,115,46340355,21794612.0,83,43858,120042.35,94,68150,242656.65,314,62094,68287.53,153,6699,37842.97,351,942957,1560793.41,151,38996764,8593628.35,129,15.9,24.0,49.2,86.0,161.0,10.0,24.7,282844.0
Abr/17,16074,160369.8,6,42838,284604.02,94,2807037,13758401.37,2113,208690,338135.75,154,1570,17343.43,15,73582,437706.14,77,2370005,1416787.87,148,2783273,3811339.39,127,60001,148853.33,22,11619681,1594240.96,26,285,445.82,17,11907441,2833369.35,17,0,0.0,0,51,235.58,4,4048331,2977703.98,14,116973,264322.74,103,5769957,2638682.61,121,22167,81226.04,133,33506,70092.69,297,58747,63762.69,147,6613,27766.46,190,803946,736443.84,156,20389960,3868519.57,115,18.0,30.0,85.1,91.0,187.0,9.0,30.0,267162.0
May/17,3073,25010.13,6,39324,246306.55,42,3003554,15653973.18,2302,435797,469935.16,40,7591,78989.22,25,52578,295760.41,100,2240413,1507850.95,124,3227532,4701173.86,140,412222,913612.92,21,13802427,2230654.21,6,10,112.27,3,13040,22502.64,18,0,0.0,0,24064,9303.61,6,8692,10293.93,15,53167,119101.83,8,27153454,8503094.77,36,16786,79364.81,55,34419,90890.87,39,62448,112793.4,22,11712,45553.95,30,1200091,2404891.54,152,14616302,4042222.1,83,19.8,27.0,22.1,90.0,213.0,8.0,23.9,267162.0
Jun/17,348,6386.41,5,162605,347937.18,87,1611147,10233698.2,1561,537418,571532.15,161,2216,10769.69,16,61411,261253.11,89,563552,383311.67,91,3549058,5877498.55,193,241750,541004.96,37,8659664,2157731.71,28,17132,38771.21,16,489,10623.41,9,0,0.0,0,131,432.21,5,96349,68332.52,16,34706,170472.7,95,296493,115531.84,71,19990,62234.36,94,42580,167280.5,267,85463,143193.24,137,47700,115648.5,173,1317549,1422335.24,168,9929969,2471702.63,114,23.1,27.0,0.0,86.0,250.0,8.0,22.5,267162.0
Jul/17,49609,141495.5,5,51196,383720.91,95,3047992,23802493.18,2162,344123,351044.18,168,1709,25163.58,17,67641,341178.48,72,934037,873829.1,85,2515941,4149411.56,157,424554,973934.63,33,96970642,16128915.42,34,232,249.88,11,12903,59628.23,18,0,0.0,0,24080,9145.16,5,25091535,15429010.58,36,121174,273837.44,115,4978110,1596071.82,108,26368,128630.06,110,28039,69432.92,317,54559,68216.28,180,8493,46233.64,227,2395921,3584402.08,235,10201720,2101864.12,185,24.1,25.0,0.1,80.0,248.0,8.0,30.0,272887.0
