@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R24,55,142,193,215,244,267,272,383,423,458,466,499,528,534,540,594,670,723,727,744,759,765,785,807,836,893,927'

@attribute NUM_OPERACIONES_8_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_22_lag10 numeric
@attribute NUM_OPERACIONES_13_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute PESO_5_lag8 numeric
@attribute NUM_OPERACIONES_12_lag8 numeric
@attribute VALOR_14_lag8 numeric
@attribute w_racha_dir_lag7 numeric
@attribute VALOR_13_lag6 numeric
@attribute hr_lag6 numeric
@attribute PESO_2_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute NUM_OPERACIONES_22_lag5 numeric
@attribute p_mes_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute NUM_OPERACIONES_18_lag3 numeric
@attribute NUM_OPERACIONES_10_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute NUM_OPERACIONES_17_lag2 numeric
@attribute NUM_OPERACIONES_22_lag2 numeric
@attribute p_mes_lag2 numeric
@attribute NUM_OPERACIONES_5_lag1 numeric
@attribute PESO_13_lag1 numeric
@attribute NUM_OPERACIONES_22_lag1 numeric
@attribute PESO_16_lag0 numeric
@attribute PESO_20_ahead3 numeric

@data
98,57719,3197344.1,2,8132,2941,20,311.28,9,77818.86,86,42838,0,156,85.1,3073,34419,94,34,12903,108,235,0.1,16,0,182,48236,119709
113,46561,1778983.66,0,51337,1652,18,373,10,0,91,39324,0,152,22.1,348,42580,110,31,12125,100,182,1.5,20,0,204,90859,78887
98,19812,770265.08,1,65790,5079,26,10031.93,9,0,90,162605,0,168,0,49609,28039,111,21,8941,100,204,1.7,21,400,184,39507,55911
54,34647,1802217.15,2,6699,1570,17,235.58,8,0,86,51196,0,235,0.1,15036,67554,105,29,17313,62,184,29,20,155,207,29129,108822
80,53574,1560793.41,0,6613,7591,18,9303.61,8,0,80,38319,0,182,1.5,0,28051,80,26,53312,94,207,121.1,23,995,167,50944,97654
139,68150,736443.84,0,11712,2216,9,432.21,8,0,78,315698,0,204,1.7,18501,54444,118,29,136925,87,167,101.1,34,0,159,3281,98248
127,33506,2404891.54,0,47700,1709,18,9145.16,9,0,81,43199,400,184,29,52167,85417,112,27,17454,85,159,82,6,0,72,67640,72170
140,34419,1422335.24,0,8493,1936,19,713.75,8,2797.5,84,34703,155,207,121.1,0,65294,124,5,4399855,37,72,72.3,5,5,86,73086,68781
193,42580,3584402.08,0,12060,6830,22,1561.74,8,10277.77,82,403873,995,167,101.1,24500,24636,78,8,69,38,86,286,7,40,112,45438,63108
157,28039,1136206.75,0,9497,5237,24,1345.02,22,55632.62,80,32766,0,159,82,16001,49826,80,7,17916,54,112,88.9,7,500,70,16476,55524
