@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R9,46,52,58,96,102-103,114,141,145,164,167-168,179-180,186,210,232,241-242,247-248,268,272,278,286,292,310,315,324-325,386,401-402,423,437,464,469,472,496,518,541,543-544,577,671-673,694-695,697,706,730,749-750,754,756,758,777,790,835,852,854,887-888,905-906,911,926,928,927'

@attribute NUM_OPERACIONES_3_lag11 numeric
@attribute PESO_16_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute PESO_20_lag11 numeric
@attribute PESO_7_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_23_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute PESO_5_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_9_lag9 numeric
@attribute VALOR_9_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_19_lag9 numeric
@attribute PESO_1_lag8 numeric
@attribute PESO_4_lag8 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_13_lag8 numeric
@attribute VALOR_14_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_19_lag8 numeric
@attribute PESO_21_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_6_lag6 numeric
@attribute VALOR_6_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_3_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute PESO_12_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_2_lag4 numeric
@attribute VALOR_2_lag4 numeric
@attribute VALOR_13_lag4 numeric
@attribute PESO_19_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute PESO_1_lag2 numeric
@attribute VALOR_1_lag2 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_5_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute PESO_21_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute VALOR_22_lag2 numeric
@attribute PESO_3_lag1 numeric
@attribute VALOR_7_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute VALOR_2_lag0 numeric
@attribute PESO_3_lag0 numeric
@attribute PESO_14_lag0 numeric
@attribute VALOR_14_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead4 numeric
@attribute PESO_8_ahead3 numeric

@data
1506,44103,24182,70125,5614224,191601,548011.7,0,1440375,10327555.47,188678,43505,181107.86,367543,749606.91,0,87151.41,0,137461,294683.31,60491,260242.76,0,0,46562.74,29614,44199,42208.93,2224967,71665,349717.52,2000,55843,251952.59,0,41501,97092.68,2458775,103458,75956,92561.84,11261.3,132242,268627.52,17808.96,75157,165427.15,313,0,0,36142,257,230,305490.19,325,28242,188,1729342.32,3322588,599726.56,2848835.22,206934.14,3274391,50195,23580.51,79264,80458.7,898453,5650392,3371997,4341390
1646,30769,26001,60164,3253263,367543,749606.91,6008,883962,7298343.69,137461,1107,63296.53,235563,490356.57,54,65983.8,2700,139512,238468.01,71665,349717.52,0,74.75,92210.44,48652,50004,14000,2952080,55843,251952.59,39953,64638,327853,4724,63870,11261.3,2286615,5475,64713,121769.8,0,43902,245927.8,499.5,84152,305490.19,325,16000,43150,509949,126,0,183115.55,327,44707,152,2848835.22,3274391,887766.1,3017653.67,100469.76,2620497,5,57,54417,76506.73,747336,4341390,5933294,3371997
1180,24371,41235,80829,2556898,235563,490356.57,0,1080091,10635805.21,139512,22510,91017.51,347303,799378.13,178,155875.81,2000,133677,232682.21,55843,251952.59,0,100.56,63346.45,41543,47244,97092.68,2458775,64638,327853,529,43366,274937.74,17808.96,45300,0,2428946,526731,20001427,165427.15,0,36142,249969.87,2386.59,76713,183115.55,327,1,457,51938,55,0,143677.58,345,25208,167,3017653.67,2620497,834056.03,1624696.69,587605.67,2658367,31105,13872.47,56687,60591.21,929046,3371997,6545056,5933294
1344,15465,24945,71119,3835614,347303,799378.13,0,735355,9438437,133677,551,41644.74,213197,500402.77,1171.04,88474.03,39953,103458,212836.04,64638,327853,400,165.76,81277.62,45951,22980,11261.3,2286615,43366,274937.74,0,65672,306142.15,499.5,33178,0,2933278,547240,20694062,305490.19,43150,509949,399049.58,0,40073,143677.58,345,18054,57069.4,18889,22231,200,138615.55,351,27901,146,1624696.69,2658367,1798914.67,1982389.16,2023055.02,2675011,0,0,202896,266983.5,1055663,5933294,6273612,6545056
1719,44547,43353,99205,8493951,213197,500402.77,0,752049,7379099.82,103458,1248,22151.35,419606,816854.08,286.11,92561.84,529,5475,16929.33,43366,274937.74,200,0,99721.73,736324,52798,0,2428946,65672,306142.15,0,100018,360855.38,2386.59,45260,43150,3322588,1112172,6743345,183115.55,457,51938,206934.14,0,54477,138615.55,351,838,7133.61,610033,294,58080,224764.84,684,130863,301,1982389.16,2675011,1689108.12,957026.72,164033.53,3023868,8,46,63012,72614.17,1239772,6545056,3769702,6273612
1840,19603,41501,65707,2450521,419606,816854.08,400,1009582,5501257.11,5475,826,49362.51,362615,639226.88,398.44,121769.8,0,526731,369083.21,65672,306142.15,10,16.02,98346.39,75157,67954,0,2933278,100018,360855.38,16000,190352,402245.56,0,60961,457,3274391,80833,4302,143677.58,57069.4,18889,100469.76,17450.54,67090,224764.84,684,40,1241.26,591995,89,0,211212.06,326,19664,182,957026.72,3023868,3132144.16,1344234.21,447013.52,4945797,627,2654.65,67633,79783.8,821073,6273612,2216324,3769702
1711,27337,63870,75700,853642,362615,639226.88,200,1390818,2856043.47,526731,159,3437.58,545395,1018063.8,272.58,165427.15,0,547240,373244.41,100018,360855.38,230,62650.69,70409.51,84152,28242,43150,3322588,190352,402245.56,1,141427,496463.74,0,65369,57069.4,2620497,149275,31816,138615.55,7133.61,610033,587605.67,6196.08,90141,211212.06,326,0,0,28949,469,450,77838.9,326,33979,163,1344234.21,4945797,1474373.9,1293451.97,220900.24,2545104,96,318.17,115242,118101.39,1040839,3769702,1798532,2216324
2016,35122,45300,120337,538373,545395,1018063.8,10,1270742,5668553.47,547240,257,4643.49,436977,974217.06,245.11,305490.19,16000,1112172,231227.64,190352,402245.56,0,143797.92,37025.23,76713,44707,457,3274391,141427,496463.74,18054,111794,389519.41,17450.54,81949,7133.61,2658367,128886,34000,224764.84,1241.26,591995,2023055.02,0,31388,77838.9,326,1,80.96,436292,7173,0,95177.15,337,37689,253,1293451.97,2545104,940062.31,2426508.28,258874.15,2689880,24423,10176.34,74603,91078.74,1271612,2216324,3732375,1798532
1720,27450,33178,77365,207290,436977,974217.06,230,820571,6447566.78,1112172,126,6390.12,288560,611353.41,2592.54,183115.55,1,80833,152238.9,141427,496463.74,0,23580.51,63625.17,40073,25208,57069.4,2620497,111794,389519.41,838,105744,355449.56,6196.08,106172,1241.26,2675011,92984,8801628,211212.06,0,28949,164033.53,15984.83,35183,95177.15,337,1505,24726.61,28780,344,0,247827.4,335,83412,201,2426508.28,2689880,943298.68,2261931.54,877627.71,3346391,24049,8573,63525,78783.74,1083855,1798532,4799001,3732375
2123,26011,45260,73581,865174,288560,611353.41,0,1179117,4042351.77,80833,55,3168.93,365419,770023,366.92,143677.58,18054,149275,293535.01,111794,389519.41,200,57,243519.94,54477,27901,7133.61,2658367,105744,355449.56,40,44234,171660.78,0,38258,0,3023868,344169,12027661,77838.9,80.96,436292,447013.52,7.25,90445,247827.4,335,3189,66934.29,47020,49,1,158684.46,346,58563,175,2261931.54,3346391,571704.93,2262517.93,229241.38,6077820,817,2930.04,71970,88887.32,1257053,3732375,8419038,4799001
