PERIODO,PESO_5,VALOR_13,VALOR_12,PESO_20,PESO_13,VALOR_16,VALOR_7,PESO_9,NUM_OPERACIONES_21,VALOR_22,VALOR_5,VALOR_18,NUM_OPERACIONES_10,PESO_11,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,VALOR_1,p_mes,VALOR_20,VALOR_14,VALOR_21,PESO_18,VALOR_9,NUM_OPERACIONES_8,NUM_OPERACIONES_14,PIB,w_racha_dir,PESO_14,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,PESO_19,PESO_1,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,NUM_OPERACIONES_4,VALOR_23,PESO_21,PESO_16,PESO_7,NUM_OPERACIONES_9,PESO_8,VALOR_4,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_6,PESO_6,VALOR_6,NUM_OPERACIONES_15
Mar/16,7173,7.25,4691631.51,67633,0,114155.38,1474373.9,166944,253,1293451.97,37984.09,250244.07,33,276,119,25268862,375.26,436292,177,80.96,42.0,79783.8,2654.65,78509.35,63675,336731.73,134,4,291178.0,26.0,627,4945797,390348,14,121,35183,1,1859,95177.15,18.1,447013.52,821073,156,2538371.4,37689,42078,2429763,37,5933294,350185.9,80,337,104,87,104158,372821.04,16
Abr/16,344,0.0,861367.09,115242,0,153012.57,940062.31,237377,201,2426508.28,6005.93,268957.02,21,234,114,4902846,461.87,28780,158,24726.61,60.9,118101.39,318.17,101520.61,74159,502386.36,92,5,276900.0,9.0,96,2545104,334325,14,91,90445,1505,1963,247827.4,30.0,220900.24,1040839,159,1295384.52,83412,68354,1459708,41,6545056,328996.72,91,335,112,97,76632,394979.23,18
May/16,49,81.73,466200.68,74603,1,61065.8,943298.68,371147,175,2261931.54,743.81,113215.11,18,9204,135,3000096,73416.43,47020,155,66934.29,49.3,91078.74,10176.34,110715.38,27018,740044.14,165,6,276900.0,8.0,24423,2689880,196092,19,107,68522,3189,2247,158684.46,24.2,258874.15,1271612,163,3738895.25,58563,38850,1421997,40,6273612,237800.42,90,346,112,95,64430,346879.2,23
Jun/16,48,987.68,211577.55,63525,50,122200.28,571704.93,328315,193,2262517.93,600.13,100814.41,26,2791,102,1101100,3756.38,953779,149,248231.21,0.6,78783.74,8573.0,37963.4,25800,633447.12,106,4,276900.0,7.0,24049,3346391,233037,18,93,34512,22455,1865,105826.01,23.6,877627.71,1083855,151,2310593.12,24070,26170,676069,36,3769702,241132.16,88,332,104,76,47305,221659.08,16
Jul/16,3078,1505.98,8782.58,71970,64,87882.14,702326.25,471439,156,3538525.3,61495.16,114132.73,19,201,104,66,373.01,38260,141,0.0,1.1,88887.32,2930.04,78649.77,32883,1152615.49,94,5,283781.0,9.0,817,6077820,167817,15,96,44204,0,1824,125176.75,23.75,229241.38,1257053,157,3130116.77,66805,61299,1061285,37,2216324,245904.38,91,291,97,84,78352,363058.79,9
Ago/16,27683,649.28,111190.88,294832,6,215721.59,321765.4,439311,189,1977077.18,214715.56,190105.42,20,25176,146,18153,8504.63,58372,160,0.0,0.1,401658.55,8862.19,65641.38,41706,956079.14,74,6,283781.0,6.0,24072,5125205,200518,13,116,34298,0,2658,90555.97,23.3,405213.73,1030377,165,3443705.64,30582,78128,357290,39,1798532,300114.91,96,333,110,81,142697,493520.69,27
Sep/16,58,21505.56,153749.25,83238,476,53825.61,601613.27,464319,200,1621881.1,2478.6,293102.8,22,15026,124,46874,6947.34,440982,150,5600.63,3.6,91854.49,351.46,100551.23,63626,1184445.51,75,4,283781.0,9.0,420,3115258,326975,16,102,46690,38,1317,185897.22,21.1,468804.27,1374175,158,2913638.21,39672,33613,1072040,38,3732375,337868.11,96,362,118,114,142722,513071.07,15
Oct/16,189,0.0,15123.24,67877,0,184979.04,1049376.16,459047,241,2399691.86,4384.2,46877.58,23,254,108,2449,386.41,24859,164,47360.0,40.9,91383.05,349.55,46758.04,22713,1240748.48,98,4,266884.0,13.0,88,2449005,287144,15,97,57719,15050,2145,231086.52,22.5,153380.87,1613547,160,5249678.25,25828,71996,1310932,43,4799001,285242.56,92,370,117,85,155865,558333.71,17
Nov/16,394,14752.5,1367143.67,77855,625,54038.19,911970.05,289468,178,3197344.1,15068.24,367306.93,20,12262,102,4583847,28889.12,19210,158,4451.45,186.1,85264.33,10695.62,15338.55,75815,664454.93,113,4,266884.0,7.0,2134,2855971,360620,18,91,46561,115,2059,105812.0,21.4,181682.69,2282073,150,3414539.32,2372,20819,1569340,35,8419038,357924.48,69,338,116,127,112972,483040.08,24
Dic/16,26,123129.25,26034.76,71023,5140,166960.1,1887280.16,354209,303,1778983.66,337.87,311053.63,23,5967,113,4685,4762.32,503816,170,0.0,181.1,105737.34,1071.39,44592.2,69442,892627.02,98,4,266884.0,15.0,3014,2095038,44755,16,101,19812,0,1839,84097.39,23.05,571875.95,1647984,148,2479940.17,8132,52128,3179457,47,3696543,93480.94,101,356,126,81,104809,387277.43,14
