@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,55-56,84,87,117-118,170,189,200,215-216,222,231,238,253,277-278,283,289-290,308,317,327,333-334,345,360-361,372,398-399,410-411,416-417,441,463,472-473,476,478-479,499,502-503,509,517,540-541,555-556,594,601,617,632-633,678,693,700,727,739,749,770,772,774-775,787,808,902-903,905-906,912,929-930'

@attribute PESO_4_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_3_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute VALOR_23_lag9 numeric
@attribute PIB_lag9 numeric
@attribute PESO_3_lag8 numeric
@attribute PESO_8_lag8 numeric
@attribute PESO_16_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_18_lag8 numeric
@attribute PESO_20_lag8 numeric
@attribute VALOR_20_lag8 numeric
@attribute PIB_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_7_lag7 numeric
@attribute PESO_9_lag7 numeric
@attribute VALOR_9_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_18_lag7 numeric
@attribute PESO_22_lag7 numeric
@attribute PESO_5_lag6 numeric
@attribute VALOR_5_lag6 numeric
@attribute PESO_9_lag6 numeric
@attribute VALOR_9_lag6 numeric
@attribute PESO_11_lag6 numeric
@attribute VALOR_11_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute PESO_1_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute VALOR_4_lag5 numeric
@attribute VALOR_5_lag5 numeric
@attribute PESO_6_lag5 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute PESO_14_lag5 numeric
@attribute VALOR_14_lag5 numeric
@attribute VALOR_16_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_6_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_21_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_6_lag3 numeric
@attribute VALOR_6_lag3 numeric
@attribute VALOR_21_lag3 numeric
@attribute PIB_lag3 numeric
@attribute PESO_3_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute PESO_16_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute PIB_lag2 numeric
@attribute VALOR_1_lag1 numeric
@attribute PESO_2_lag1 numeric
@attribute VALOR_2_lag1 numeric
@attribute VALOR_6_lag1 numeric
@attribute VALOR_13_lag1 numeric
@attribute PESO_19_lag0 numeric
@attribute VALOR_19_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute PESO_8_ahead5 numeric
@attribute PESO_8_ahead6 numeric

@data
167817,44204,125176.75,5125205,200518,24072,8862.19,142722,153749.25,33613,39672,100551.23,2913638.21,283781,2449005,4799001,71996,184979.04,22713,67877,91383.05,266884,2059,1569340,289468,664454.93,625,75815,367306.93,2282073,26,337.87,354209,892627.02,5967,4762.32,84097.39,17000,278474,304466.02,15224.96,123296,351876.29,0,59,311.28,137026.81,34647,0,0,85961,360602,53574,73434.66,59127,83912,284026.1,37842.97,282844,2807037,11907441,116973,70092.69,267162,25010.13,39324,246306.55,295760.41,0,42580,167280.5,85463,143193.24,1422335.24,3065568,2461376
200518,34298,90555.97,3115258,326975,420,351.46,155865,15123.24,71996,25828,46758.04,5249678.25,266884,2855971,8419038,20819,54038.19,75815,77855,85264.33,266884,1839,3179457,354209,892627.02,5140,69442,311053.63,1647984,2941,15224.96,518507,1242678.72,338,514.78,70393.74,0,115982,155438.55,11947.06,85961,360602,698,87,373,157781.25,53574,59127,201236.73,83912,284026.1,68150,37842.97,16074,73582,437706.14,27766.46,267162,3003554,13040,53167,90890.87,267162,6386.41,162605,347937.18,261253.11,0,28039,69432.92,54559,68216.28,3584402.08,2461376,2245553
326975,46690,185897.22,2449005,287144,88,349.55,112972,1367143.67,20819,2372,15338.55,3414539.32,266884,2095038,3696543,52128,166960.1,69442,71023,105737.34,266884,2076,2767615,518507,1242678.72,0,52785,202007.5,667477,1652,11947.06,213104,435789.89,171,309.28,108753.15,59127,313143,459593.51,47108.25,83912,284026.1,1308,24444,10031.93,149976.66,68150,16074,160369.8,73582,437706.14,33506,27766.46,3073,52578,295760.41,45553.95,267162,1611147,489,34706,167280.5,267162,141495.5,51196,383720.91,341178.48,0,67554,310482.37,83858,138085.82,1136206.75,2245553,3284644
287144,57719,231086.52,2855971,360620,2134,10695.62,104809,26034.76,52128,8132,44592.2,2479940.17,266884,2666062,1015856,17092,137026.81,52785,68412,68746.45,282844,1611,2487279,213104,435789.89,698,27737,108398.95,914529,5079,47108.25,119922,281591.37,254,328.95,242656.65,16074,208690,338135.75,17343.43,73582,437706.14,0,51,235.58,264322.74,33506,3073,25010.13,52578,295760.41,34419,45553.95,348,61411,261253.11,115648.5,267162,3047992,12903,121174,69432.92,272887,37630,38319,264495.17,422602.87,0,28051,67800.2,117743,153422.19,2974003.8,3284644,3262054
360620,46561,105812,2095038,44755,3014,1071.39,123296,22836.44,17092,51337,78288.37,2453844.08,282844,2314994,1791627,66300,157781.25,27737,73569,82836.74,282844,1790,3663372,119922,281591.37,1308,43858,120042.35,942957,1570,17343.43,60001,148853.33,285,445.82,70092.69,3073,435797,469935.16,78989.22,52578,295760.41,0,24064,9303.61,119101.83,34419,348,6386.41,61411,261253.11,42580,115648.5,49609,67641,341178.48,46233.64,272887,3060869,12125,23612,310482.37,272887,0,315698,378225.34,473844.82,0,54444,206546.06,24067,22524.83,2748439.94,3262054,4979809
44755,19812,84097.39,2666062,278474,59,311.28,85961,28571.77,66300,65790,73434.66,2490395.05,282844,2577410,4960501,51173,149976.66,43858,62094,68287.53,282844,2113,2370005,60001,148853.33,0,22167,81226.04,803946,7591,78989.22,412222,913612.92,10,112.27,90890.87,348,537418,571532.15,10769.69,61411,261253.11,0,131,432.21,170472.7,42580,49609,141495.5,67641,341178.48,28039,46233.64,15036,114441,422602.87,47977.91,272887,2231355,8941,48236,67800.2,272887,48578.23,43199,258297.74,569011.97,2797.5,85417,330730.2,116197,178494.25,3667163.36,4979809,2713864
278474,34647,70393.74,2314994,115982,87,373,83912,94670.63,51173,6699,37842.97,8593628.35,282844,2807037,2783273,116973,264322.74,22167,58747,63762.69,267162,2302,2240413,412222,913612.92,0,16786,79364.81,1200091,2216,10769.69,241750,541004.96,17132,38771.21,167280.5,49609,344123,351044.18,25163.58,67641,341178.48,0,24080,9145.16,273837.44,28039,15036,37630,114441,422602.87,67554,47977.91,0,173068,473844.82,42843.79,272887,2911871,17313,90859,206546.06,258272,146232.68,34703,226111.66,470981.75,10277.77,65294,94450.33,119709,133091.11,2486995.16,2713864,2297289
115982,53574,108753.15,2577410,313143,24444,10031.93,73582,2833369.35,116973,6613,27766.46,3868519.57,267162,3003554,3227532,53167,119101.83,16786,62448,112793.4,267162,1561,563552,241750,541004.96,0,19990,62234.36,1317549,1709,25163.58,424554,973934.63,232,249.88,69432.92,15036,301989,317361.39,8172.78,114441,422602.87,0,181,713.75,38099.58,67554,0,0,173068,473844.82,28051,42843.79,18501,140900,569011.97,35937.33,258272,2532096,53312,39507,330730.2,258272,0,403873,510913.54,348511.66,55632.62,24636,60090.24,78887,72532.3,2952495.94,2297289,2619213
313143,68150,242656.65,2807037,208690,51,235.58,52578,22502.64,53167,11712,45553.95,4042222.1,267162,1611147,3549058,34706,170472.7,19990,85463,143193.24,267162,2162,934037,424554,973934.63,0,26368,128630.06,2395921,1936,8172.78,489282,1101229.71,2443122,507653.88,310482.37,0,393699,348863.49,29019.03,173068,473844.82,0,1989,1561.74,150161.05,28051,18501,48578.23,140900,569011.97,54444,35937.33,52167,117039,470981.75,67325.04,258272,2515082,136925,29129,94450.33,258272,73081.64,32766,174249.83,355040.37,7.75,49826,108516.69,55911,60360.81,640064.86,2619213,1579299
208690,33506,70092.69,3003554,435797,24064,9303.61,61411,10623.41,34706,47700,115648.5,2471702.63,267162,3047992,2515941,121174,273837.44,26368,54559,68216.28,272887,2228,8356420,489282,1101229.71,0,21448,99831.04,1018227,6830,29019.03,280377,605468.74,18187,25313.09,67800.2,18501,552213,666198.47,25341.28,140900,569011.97,400,228,1345.02,133166.7,54444,52167,146232.68,117039,470981.75,85417,67325.04,0,93375,348511.66,81021.62,258272,2124526,17454,50944,60090.24,270438,45857.41,23481,115950.3,371324.25,0,36978,81685.92,108822,128152.48,1826126.05,1579299,2155474
435797,34419,90890.87,1611147,537418,131,432.21,67641,59628.23,121174,8493,46233.64,2101864.12,272887,3060869,3655647,23612,38099.58,21448,83858,138085.82,272887,1448,866668,280377,605468.74,0,23182,78026.16,1455366,5237,25341.28,340285,665243.22,313,524.37,206546.06,52167,320805,378948.4,18346.22,117039,470981.75,155,772,2879.05,51802.85,85417,0,0,93375,348511.66,65294,81021.62,24500,112096,355040.37,27785.62,270438,2666781,4399855,3281,108516.69,270438,0,573559,538848,340448.55,668.05,50017,264234.29,97654,129925.98,2411248.71,2155474,3589875
537418,42580,167280.5,3047992,344123,24080,9145.16,114441,11939.34,23612,12060,47977.91,2806140.75,272887,2231355,1589623,48236,150161.05,23182,117743,153422.19,272887,2711,1182016,340285,665243.22,400,25414,37672.42,913930,4012,18346.22,103177,193214.84,478,1826.95,330730.2,0,494276,559500.84,14113.44,93375,348511.66,995,275,1566.85,154674.91,65294,24500,73081.64,112096,355040.37,24636,27785.62,16001,91313,371324.25,20646.08,270438,3217316,69,67640,81685.92,270438,0,47861,195291.75,350343.78,465.86,59689,96362.18,98248,178574.01,1223599.75,3589875,2851378
344123,28039,69432.92,3060869,301989,181,713.75,173068,29672.53,48236,9497,42843.79,1780249.38,272887,2911871,1641873,90859,133166.7,25414,24067,22524.83,258272,2049,1300326,103177,193214.84,155,697892,899362.77,1450908,1705,14113.44,158247,301632.51,4254,11754.58,94450.33,24500,265673,339562.41,12796.74,112096,355040.37,0,22509,16400.27,60306.32,24636,16001,45857.41,91313,371324.25,49826,20646.08,0,57668,340448.55,41362.43,270438,2553933,17916,73086,264234.29,255947,0,17144,119284.27,335178.56,31118.82,24795,59251.45,72170,123040.59,1567157.43,2851378,2084414
