@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,55-56,84,87,117-118,170,189,200,215-216,222,231,238,253,277-278,283,289-290,308,317,327,333-334,345,360-361,372,398-399,410-411,416-417,441,463,472-473,476,478-479,499,502-503,509,517,540-541,555-556,594,601,617,632-633,678,693,700,727,739,749,770,772,774-775,787,808,902-903,905-906,912,929-930'

@attribute PESO_4_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_3_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute VALOR_23_lag9 numeric
@attribute PIB_lag9 numeric
@attribute PESO_3_lag8 numeric
@attribute PESO_8_lag8 numeric
@attribute PESO_16_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_18_lag8 numeric
@attribute PESO_20_lag8 numeric
@attribute VALOR_20_lag8 numeric
@attribute PIB_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_7_lag7 numeric
@attribute PESO_9_lag7 numeric
@attribute VALOR_9_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_18_lag7 numeric
@attribute PESO_22_lag7 numeric
@attribute PESO_5_lag6 numeric
@attribute VALOR_5_lag6 numeric
@attribute PESO_9_lag6 numeric
@attribute VALOR_9_lag6 numeric
@attribute PESO_11_lag6 numeric
@attribute VALOR_11_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute PESO_1_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute VALOR_4_lag5 numeric
@attribute VALOR_5_lag5 numeric
@attribute PESO_6_lag5 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute PESO_14_lag5 numeric
@attribute VALOR_14_lag5 numeric
@attribute VALOR_16_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_6_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_21_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_6_lag3 numeric
@attribute VALOR_6_lag3 numeric
@attribute VALOR_21_lag3 numeric
@attribute PIB_lag3 numeric
@attribute PESO_3_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute PESO_16_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute PIB_lag2 numeric
@attribute VALOR_1_lag1 numeric
@attribute PESO_2_lag1 numeric
@attribute VALOR_2_lag1 numeric
@attribute VALOR_6_lag1 numeric
@attribute VALOR_13_lag1 numeric
@attribute PESO_19_lag0 numeric
@attribute VALOR_19_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute PESO_8_ahead5 numeric
@attribute PESO_8_ahead6 numeric

@data
225647,41580,79545.29,3480015,141836,0,0,76514,1856111.81,24371,27101,43791.68,7298343.69,305396,2519919,2724975,15465,46562.74,24945,71119,103355.56,305396,1719,3835614,347303,799378.13,0,43353,119444.75,735355,551,41644.74,213197,500402.77,447,1171.04,88474.03,39953,103458,212836.04,22151.35,64638,327853,400,172,165.76,81277.62,45951,529,11261.3,43366,274937.74,736324,143771.65,0,65672,306142.15,252846.56,295595,2933278,20694062,26011,305490.19,295595,43150,509949,399049.58,402245.56,0,40073,143677.58,79264,80458.7,3017653.67,5933294,6545056
141836,34849,65425.25,1950189,188678,0,0,60491,36046.05,15465,44199,89754.32,10635805.21,305396,2224967,2532024,44547,92210.44,43353,99205,109192.22,305396,1840,8493951,213197,500402.77,0,41501,116629.73,752049,1248,22151.35,419606,816854.08,229,286.11,92561.84,529,5475,16929.33,49362.51,43366,274937.74,200,0,0,99721.73,736324,0,0,65672,306142.15,75157,252846.56,0,100018,360855.38,59528.48,295595,3322588,6743345,12539,183115.55,295595,457,51938,206934.14,496463.74,0,54477,138615.55,54417,76506.73,1624696.69,6545056,6273612
188678,41417,87151.41,2519919,137461,0,0,71665,51312.38,44547,50004,139159.92,9438437,305396,2952080,2613045,19603,63346.45,41501,65707,76507.03,287460,1711,2450521,419606,816854.08,400,63870,186778.65,1009582,826,49362.51,362615,639226.88,169,398.44,121769.8,0,526731,369083.21,3437.58,65672,306142.15,10,8,16.02,98346.39,75157,0,0,100018,360855.38,84152,59528.48,16000,190352,402245.56,118505.62,295595,3274391,4302,40215,143677.58,277868,57069.4,18889,100469.76,389519.41,17450.54,67090,224764.84,56687,60591.21,1982389.16,6273612,3769702
137461,29614,65983.8,2224967,139512,64,74.75,55843,44976.9,19603,47244,89954.29,7379099.82,287460,2458775,2828411,27337,81277.62,63870,75700,82114.92,287460,2016,853642,362615,639226.88,200,45300,221603.55,1390818,159,3437.58,545395,1018063.8,119,272.58,165427.15,0,547240,373244.41,4643.49,100018,360855.38,230,187738,62650.69,70409.51,84152,16000,43150,190352,402245.56,76713,118505.62,1,141427,496463.74,43669.21,277868,2620497,31816,124598,138615.55,277868,7133.61,610033,587605.67,355449.56,6196.08,90141,211212.06,202896,266983.5,957026.72,3769702,2216324
139512,48652,155875.81,2952080,133677,10,100.56,64638,55722.25,27337,22980,62028.74,5501257.11,287460,2286615,2218496,35122,99721.73,45300,120337,143441.29,287460,1720,538373,545395,1018063.8,10,33178,125387.42,1270742,257,4643.49,436977,974217.06,197,245.11,305490.19,16000,1112172,231227.64,6390.12,190352,402245.56,0,313533,143797.92,37025.23,76713,1,457,141427,496463.74,40073,43669.21,18054,111794,389519.41,47304.91,277868,2658367,34000,29346,224764.84,277868,1241.26,591995,2023055.02,171660.78,0,31388,77838.9,63012,72614.17,1344234.21,2216324,1798532
133677,41543,88474.03,2458775,103458,172,165.76,43366,78756.74,35122,52798,143771.65,2856043.47,287460,2428946,2455954,27450,98346.39,33178,77365,91002.79,295595,2123,207290,436977,974217.06,230,45260,145118.86,820571,126,6390.12,288560,611353.41,3751,2592.54,183115.55,1,80833,152238.9,3168.93,141427,496463.74,0,50195,23580.51,63625.17,40073,18054,57069.4,111794,389519.41,54477,47304.91,838,105744,355449.56,172569.51,277868,2675011,8801628,62573,211212.06,291178,0,28949,164033.53,281812.97,15984.83,35183,95177.15,67633,79783.8,1293451.97,1798532,3732375
103458,45951,92561.84,2286615,5475,0,0,65672,6380945.91,27450,67954,252846.56,5668553.47,295595,2933278,1700107,26011,70409.51,45260,73581,90332.68,295595,1511,865174,288560,611353.41,0,60961,292479.98,1179117,55,3168.93,365419,770023,160,366.92,143677.58,18054,149275,293535.01,221983.14,111794,389519.41,200,5,57,243519.94,54477,838,7133.61,105744,355449.56,67090,172569.51,40,44234,171660.78,30657.33,291178,3023868,12027661,23903,77838.9,291178,80.96,436292,447013.52,372821.04,7.25,90445,247827.4,115242,118101.39,2426508.28,3732375,4799001
5475,736324,121769.8,2428946,526731,8,16.02,100018,6960597.86,26011,28242,59528.48,6447566.78,295595,3322588,2209291,12539,37025.23,60961,68049,90535.65,295595,1690,1325578,365419,770023,0,65369,242468.02,898453,22231,221983.14,263565,531688.15,330,560.47,138615.55,838,128886,175568.22,4954.4,105744,355449.56,58080,31105,13872.47,88359.02,67090,40,1241.26,44234,171660.78,90141,30657.33,0,61973,281812.97,124553.86,291178,4945797,25268862,42078,95177.15,291178,24726.61,28780,220900.24,394979.23,0,68522,158684.46,74603,91078.74,2261931.54,4799001,8419038
526731,75157,165427.15,2933278,547240,187738,62650.69,190352,2282607.63,12539,44707,118505.62,4042351.77,295595,3274391,2649758,40215,63625.17,65369,79264,80458.7,277868,1846,1495317,263565,531688.15,200,81949,348039.91,747336,294,4954.4,285513,671460.24,12,32,224764.84,40,92984,146860.63,2884.2,44234,171660.78,0,0,0,196394.79,90141,0,0,61973,281812.97,31388,124553.86,1,104158,372821.04,78509.35,291178,2545104,4902846,68354,247827.4,276900,66934.29,47020,258874.15,346879.2,81.73,34512,105826.01,63525,78783.74,2262517.93,8419038,3696543
547240,84152,305490.19,3322588,1112172,313533,143797.92,141427,215308.77,40215,25208,43669.21,2453432.11,277868,2620497,4655949,124598,243519.94,81949,54417,76506.73,277868,2048,3047421,285513,671460.24,58080,106172,432040.54,929046,89,2884.2,440479,916758.87,808,49722.61,211212.06,0,344169,278604.56,9899.97,61973,281812.97,450,8,46,253723.81,31388,1,80.96,104158,372821.04,35183,78509.35,1505,76632,394979.23,101520.61,276900,2689880,3000096,38850,158684.46,276900,248231.21,953779,877627.71,221659.08,987.68,44204,125176.75,71970,88887.32,3538525.3,3696543,1015856
