PERIODO,PESO_5,VALOR_13,w_med,PESO_15,PESO_20,PESO_13,VALOR_16,NUM_OPERACIONES_6,PESO_9,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,VALOR_18,NUM_OPERACIONES_13,PESO_11,VALOR_11,VALOR_1,VALOR_21,VALOR_14,NUM_OPERACIONES_1,PESO_10,PESO_18,VALOR_9,PIB,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,VALOR_8,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,VALOR_15,PESO_1,PESO_19,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,PESO_17,PESO_21,PESO_16,NUM_OPERACIONES_5,PESO_7,NUM_OPERACIONES_2,VALOR_4,NUM_OPERACIONES_8,PESO_6,VALOR_6,VALOR_3,NUM_OPERACIONES_15
Ago/15,257,2386.59,21.0,18026906,73581,230,70409.51,45,436977,188,16,1729342.32,145118.86,2,197,245.11,0.0,59528.48,62650.69,0,136889542,45260,974217.06,295595.0,6,8.0,187738,83.0,1870425.56,2933278,547240,10,100,11275992.17,0,84152,2123,305490.19,21.9,249969.87,820571,911766,28242,26011,15,207290,86,373244.41,76,100018,360855.38,16758451.87,18
Sep/15,126,0.0,18.0,17994532,68049,0,37025.23,96,288560,152,11,2848835.22,292479.98,0,3751,2592.54,43150.0,118505.62,143797.92,1,29598018,60961,611353.41,295595.0,17,9.0,313533,82.0,2107147.01,3322588,1112172,13,79,11247431.93,16000,76713,1511,183115.55,19.4,399049.58,1179117,25005597,44707,12539,16,865174,92,231227.64,86,190352,402245.56,12818635.81,20
Oct/15,55,0.0,15.0,4057757,79264,0,63625.17,89,365419,167,15,3017653.67,242468.02,0,160,366.92,457.0,43669.21,23580.51,1,89333622,65369,770023.0,277868.0,5,8.0,50195,80.0,1876745.71,3274391,80833,12,84,2183224.33,1,40073,1690,143677.58,16.9,206934.14,898453,3361,25208,40215,12,1325578,90,152238.9,103,141427,496463.74,12454190.02,14
Nov/15,22231,17450.54,21.0,12211,54417,200,243519.94,75,263565,146,13,1624696.69,348039.91,1,330,560.47,57069.4,47304.91,57.0,3,52842218,81949,531688.15,277868.0,1,10.0,5,82.0,2863260.21,2620497,149275,15,86,13759.83,18054,54477,1846,138615.55,23.6,100469.76,747336,60043,27901,124598,15,1495317,81,293535.01,103,111794,389519.41,10724002.04,12
Dic/15,294,6196.08,26.0,4011272,56687,58080,88359.02,98,285513,301,16,1982389.16,432040.54,1,12,32.0,7133.61,172569.51,13872.47,3,930856,106172,671460.24,277868.0,3,8.0,31105,82.0,4525102.68,2658367,128886,2,135,1928608.86,838,67090,2048,224764.84,21.9,587605.67,929046,26309043,130863,29346,19,3047421,31,175568.22,165,105744,355449.56,12863777.02,6
Ene/16,89,0.0,20.0,56370,202896,0,196394.79,57,440479,182,20,957026.72,158021.05,0,808,49722.61,1241.26,30657.33,0.0,1,51221136,38258,916758.87,291178.0,0,10.0,0,78.0,3914226.05,2675011,92984,20,84,63541.14,40,90141,1933,211212.06,26.1,2023055.02,1055663,15491,19664,62573,17,2715935,84,146860.63,135,44234,171660.78,14907680.2,16
Feb/16,469,15984.83,23.0,13087,63012,450,253723.81,103,97963,163,19,1344234.21,201506.13,2,264,360.59,0.0,124553.86,46.0,0,80636021,55566,247983.49,291178.0,1,24.0,8,77.0,3291361.2,3023868,344169,12,79,15873.98,0,31388,1444,77838.9,25.6,164033.53,1239772,187884,33979,23903,14,9780713,77,278604.56,115,61973,281812.97,14082570.48,15
Mar/16,7173,7.25,17.0,3998938,67633,0,114155.38,87,166944,253,21,1293451.97,250244.07,1,276,375.26,80.96,78509.35,2654.65,1,86945548,63675,336731.73,291178.0,4,26.0,627,79.0,5521115.21,4945797,390348,14,121,2148419.87,1,35183,1859,95177.15,18.1,447013.52,821073,33275487,37689,42078,18,2429763,80,350185.9,134,104158,372821.04,15064437.1,16
Abr/16,344,0.0,24.0,13752,115242,0,153012.57,97,237377,201,29,2426508.28,268957.02,0,234,461.87,24726.61,101520.61,318.17,2,60522550,74159,502386.36,276900.0,5,9.0,96,82.0,5048602.48,2545104,334325,14,91,15988.14,1505,90445,1963,247827.4,30.0,220900.24,1040839,4093,83412,68354,22,1459708,91,328996.72,92,76632,394979.23,12986790.13,18
May/16,49,81.73,22.0,3009649,74603,1,61065.8,95,371147,175,21,2261931.54,113215.11,1,9204,73416.43,66934.29,110715.38,10176.34,5,30490025,27018,740044.14,276900.0,6,8.0,24423,81.0,5805313.17,2689880,196092,19,107,2100928.43,3189,68522,2247,158684.46,24.2,258874.15,1271612,25251266,58563,38850,11,1421997,90,237800.42,165,64430,346879.2,13252530.78,23
Jun/16,48,987.68,24.0,3519212,63525,50,122200.28,76,328315,193,18,2262517.93,100814.41,1,2791,3756.38,248231.21,37963.4,8573.0,5,100249845,25800,633447.12,276900.0,4,7.0,24049,79.0,3563721.38,3346391,233037,18,93,2575514.96,22455,34512,1865,105826.01,23.6,877627.71,1083855,62901,24070,26170,10,676069,88,241132.16,106,47305,221659.08,12531576.51,16
Jul/16,3078,1505.98,21.0,10202,71970,64,87882.14,84,471439,156,15,3538525.3,114132.73,3,201,373.01,0.0,78649.77,2930.04,0,17071536,32883,1152615.49,283781.0,5,9.0,817,81.0,2409286.15,6077820,167817,15,96,11558.65,0,44204,1824,125176.75,23.75,229241.38,1257053,59376,66805,61299,15,1061285,91,245904.38,94,78352,363058.79,19634617.07,9
Ago/16,27683,649.28,27.0,324035,294832,6,215721.59,81,439311,189,14,1977077.18,190105.42,2,25176,8504.63,0.0,65641.38,8862.19,0,46298175,41706,956079.14,283781.0,6,6.0,24072,83.0,2759450.93,5125205,200518,13,116,200437.63,0,34298,2658,90555.97,23.3,405213.73,1030377,37040912,30582,78128,17,357290,96,300114.91,74,142697,493520.69,22058347.88,27
Sep/16,58,21505.56,24.0,100085,83238,476,53825.61,114,464319,200,21,1621881.1,293102.8,5,15026,6947.34,5600.63,100551.23,351.46,4,38315383,63626,1184445.51,283781.0,4,9.0,420,81.0,3104524.64,3115258,326975,16,102,68329.5,38,46690,1317,185897.22,21.1,468804.27,1374175,99312586,39672,33613,15,1072040,96,337868.11,75,142722,513071.07,15012623.96,15
Oct/16,189,0.0,25.0,2099329,67877,0,184979.04,85,459047,241,15,2399691.86,46877.58,0,254,386.41,47360.0,46758.04,349.55,1,18834201,22713,1240748.48,266884.0,4,13.0,88,85.0,2900994.54,2449005,287144,15,97,1536011.69,15050,57719,2145,231086.52,22.5,153380.87,1613547,412704,25828,71996,18,1310932,92,285242.56,98,155865,558333.71,13702843.61,17
Nov/16,394,14752.5,19.0,1395761,77855,625,54038.19,127,289468,178,23,3197344.1,367306.93,3,12262,28889.12,4451.45,15338.55,10695.62,3,10011065,75815,664454.93,266884.0,4,7.0,2134,81.0,4909673.26,2855971,360620,18,91,967707.59,115,46561,2059,105812.0,21.4,181682.69,2282073,22059338,2372,20819,20,1569340,69,357924.48,113,112972,483040.08,16206772.96,24
Dic/16,26,123129.25,20.0,117,71023,5140,166960.1,81,354209,303,15,1778983.66,311053.63,2,5967,4762.32,0.0,44592.2,1071.39,0,60949371,69442,892627.02,266884.0,4,15.0,3014,81.0,2620563.39,2095038,44755,16,101,785.22,0,19812,1839,84097.39,23.05,571875.95,1647984,53374964,8132,52128,16,3179457,101,93480.94,98,104809,387277.43,13896753.21,14
