@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R118,167,200,207,292-293,317,360,363,447,472,475,499,506,540,555,571,633,706,756,794-795,822,894,925'

@attribute VALOR_14_lag10 numeric
@attribute PESO_5_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute VALOR_18_lag9 numeric
@attribute PESO_21_lag8 numeric
@attribute VALOR_21_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute PESO_19_lag7 numeric
@attribute VALOR_21_lag6 numeric
@attribute PESO_4_lag5 numeric
@attribute PESO_5_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute VALOR_15_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_11_lag4 numeric
@attribute VALOR_6_lag3 numeric
@attribute PESO_5_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute NUM_OPERACIONES_8_lag1 numeric
@attribute PESO_9_lag1 numeric
@attribute PESO_18_lag1 numeric
@attribute VALOR_16_lag0 numeric
@attribute PESO_7_ahead1 numeric

@data
351.46,189,71996,46877.58,2372,15338.55,1839,69442,19812,78288.37,115982,1652,698,9023.45,59127,83912,328.95,437706.14,7591,30,193,241750,19990,273837.44,8356420
349.55,394,20819,367306.93,8132,44592.2,2076,52785,34647,73434.66,313143,5079,1308,14821.27,16074,73582,445.82,295760.41,2216,173,157,424554,26368,38099.58,866668
10695.62,26,52128,311053.63,51337,78288.37,1611,27737,53574,37842.97,208690,1570,0,2977703.98,3073,52578,112.27,261253.11,1709,227,181,489282,21448,150161.05,1182016
1071.39,2941,17092,202007.5,65790,73434.66,1790,43858,68150,27766.46,435797,7591,0,10293.93,348,61411,38771.21,341178.48,1936,183,73,280377,23182,133166.7,1300326
311.28,1652,66300,108398.95,6699,37842.97,2113,22167,33506,45553.95,537418,2216,0,68332.52,49609,67641,249.88,422602.87,6830,172,92,340285,25414,51802.85,3265438
373,5079,51173,120042.35,6613,27766.46,2302,16786,34419,115648.5,344123,1709,0,15429010.58,15036,114441,507653.88,473844.82,5237,165,166,103177,697892,154674.91,10891638
10031.93,1570,116973,81226.04,11712,45553.95,1561,19990,42580,46233.64,301989,1936,0,7351223.52,0,173068,25313.09,569011.97,4012,184,174,158247,279827,60306.32,4426497
235.58,7591,53167,79364.81,47700,115648.5,2162,26368,28039,47977.91,393699,6830,0,21894.16,18501,140900,524.37,470981.75,1705,152,139,324712,239247,11148.03,3188769
9303.61,2216,34706,62234.36,8493,46233.64,2228,21448,67554,42843.79,552213,5237,400,426711.41,52167,117039,1826.95,348511.66,2877,185,177,375154,155367,190572.41,2974767
432.21,1709,121174,128630.06,12060,47977.91,1448,23182,28051,35937.33,320805,4012,155,1474586.94,0,93375,11754.58,355040.37,18542,32,179,357418,626309,129056.47,4204833
9145.16,1936,23612,99831.04,9497,42843.79,2711,25414,54444,67325.04,494276,1705,995,1459573.2,24500,112096,420.59,371324.25,4601,37,208,259692,336067,179929.15,4927018
713.75,6830,48236,78026.16,3454,35937.33,2049,697892,85417,81021.62,265673,2877,0,12985776.17,16001,91313,31441.05,340448.55,4830,37,161,192832,311394,125080.29,9058866
